model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9287582039833069
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.925000011920929
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.929411768913269
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9258170127868652
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9320261478424072
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9267973899841309
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.926960825920105
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9276143908500671
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9290850162506104
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9253268241882324
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9241830110549927
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9316993951797485
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9253268241882324
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9267973899841309
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9330065846443176
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9279412031173706
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.923856258392334
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9209150671958923
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9240196347236633
GRACE,Photo,nonlinear,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9307189583778381
