model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9276143908500671
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9325163960456848
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9356209635734558
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9330065846443176
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9256536364555359
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9330065846443176
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9323529601097107
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9334967732429504
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9356209635734558
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9230392575263977
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9338235855102539
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9295752048492432
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9220588803291321
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9284313917160034
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9271242022514343
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9307189583778381
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9277778267860413
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9354575276374817
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.9343137741088867
GRACE,Photo,standard,2000,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.1,0.930065393447876
