model,dataset,proj,epochs,layers,lr1,lr2,wd2,channels,proj_dim,tau,edr,fmr,accuracy
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8260000348091125
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8170000314712524
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8190000653266907
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8420000672340393
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8020000457763672
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8290000557899475
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8270000219345093
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8090000152587891
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8110000491142273
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8110000491142273
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.7950000166893005
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8290000557899475
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8250000476837158
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8420000672340393
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.831000030040741
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.7910000085830688
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8220000267028809
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8390000462532043
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8100000619888306
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.3,0.8190000653266907
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8250000476837158
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8340000510215759
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.812000036239624
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8140000104904175
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8070000410079956
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8160000443458557
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8350000381469727
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8300000429153442
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8320000171661377
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8220000267028809
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8160000443458557
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8290000557899475
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8130000233650208
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8180000185966492
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8220000267028809
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.815000057220459
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8350000381469727
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8180000185966492
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8270000219345093
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8240000605583191
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8220000267028809
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8190000653266907
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8260000348091125
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8240000605583191
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8260000348091125
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8230000138282776
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8200000524520874
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8390000462532043
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8040000200271606
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8270000219345093
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8330000638961792
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8230000138282776
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8240000605583191
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8230000138282776
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8240000605583191
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.800000011920929
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8110000491142273
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8370000123977661
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8360000252723694
GRACE,PubMed,linear,1500,2,0.001,0.01,0.0001,256,256,0.5,0.4,0.5,0.8170000314712524
