model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8140000104904175
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8370000123977661
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8260000348091125
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8180000185966492
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8270000219345093
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8290000557899475
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8240000605583191
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8300000429153442
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8250000476837158
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8380000591278076
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8370000123977661
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8270000219345093
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8210000395774841
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8250000476837158
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8320000171661377
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8210000395774841
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8230000138282776
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8200000524520874
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8250000476837158
GRACE,PubMed,linear,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.5,0.5,0.8130000233650208
