model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.831000030040741
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8340000510215759
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8180000185966492
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8330000638961792
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8250000476837158
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8200000524520874
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8230000138282776
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8260000348091125
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8300000429153442
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8200000524520874
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.831000030040741
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8250000476837158
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8170000314712524
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8200000524520874
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8230000138282776
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8300000429153442
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8230000138282776
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8260000348091125
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8240000605583191
GRACE,PubMed,nonlinear-hid,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.5,0.5,0.8190000653266907
