model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.796000063419342
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.8020000457763672
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.8010000586509705
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.8110000491142273
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.8110000491142273
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.7980000376701355
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.7970000505447388
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.7920000553131104
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.815000057220459
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.8110000491142273
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.8100000619888306
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.7910000085830688
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.7980000376701355
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.8030000329017639
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.8130000233650208
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.8070000410079956
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.7990000247955322
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.7920000553131104
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.8050000667572021
GRACE,PubMed,nonlinear,1500,2,0.001,0.01,0.0,0.0001,256,0.5,0.2,0.5,0.8190000653266907
