model,dataset,proj,epochs,layers,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8280000686645508
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8460000157356262
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8320000171661377
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8390000462532043
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8390000462532043
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8330000638961792
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8240000605583191
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.843000054359436
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8290000557899475
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8190000653266907
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8210000395774841
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8300000429153442
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8290000557899475
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8400000333786011
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8240000605583191
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.831000030040741
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8410000205039978
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8260000348091125
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8320000171661377
GRACE,PubMed,standard,1500,2,0.001,0.01,1e-05,0.0001,256,0.5,0.4,0.4,0.8300000429153442
