model,dataset,epochs,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9323605895042419
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9375426173210144
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9365880489349365
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9351561665534973
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9354971051216125
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.934678852558136
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9398609399795532
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9378153681755066
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9358380436897278
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9367244243621826
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9380881190299988
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9390426874160767
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9357698559761047
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.937201738357544
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9363834857940674
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9382244944572449
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9370653629302979
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9363152980804443
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.9360425472259521
dCLNR,CS,400,0.001,0.005,0.0,0.01,512,0.5,0.1,0.3,0.937269926071167
