model,dataset,epochs,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7390000224113464
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7390000224113464
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7300000190734863
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7260000109672546
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7320000529289246
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7360000610351562
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7220000624656677
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.737000048160553
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7300000190734863
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7200000286102295
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7210000157356262
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7290000319480896
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7390000224113464
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7290000319480896
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7150000333786011
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.706000030040741
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7300000190734863
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7170000076293945
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7350000143051147
dCLNR,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7310000061988831
