model,dataset,epochs,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8946555256843567
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8911107182502747
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8987456560134888
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8819305300712585
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8854753971099854
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8913834095001221
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8948373198509216
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8842937350273132
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.896746039390564
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8946555256843567
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8882930278778076
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8933830261230469
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8912016153335571
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8882930278778076
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8908380270004272
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8883839249610901
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8796582221984863
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8909289240837097
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8905653357505798
dCLNR,Computers,400,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.8913834095001221
