model,dataset,epochs,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8420000672340393
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8390000462532043
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8380000591278076
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8400000333786011
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8410000205039978
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8450000286102295
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8480000495910645
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.831000030040741
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8390000462532043
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8380000591278076
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8330000638961792
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8350000381469727
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8440000414848328
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8490000367164612
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8440000414848328
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8290000557899475
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8400000333786011
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8490000367164612
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.843000054359436
dCLNR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.5,0.2,0.8500000238418579
