model,dataset,epochs,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9196078777313232
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9264706373214722
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9354575276374817
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9302287697792053
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9367647171020508
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9328431487083435
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9328431487083435
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9223856329917908
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9338235855102539
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9352941513061523
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9256536364555359
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9325163960456848
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9330065846443176
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9284313917160034
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9333333373069763
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.930065393447876
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9374183416366577
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9341503381729126
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9354575276374817
dCLNR,Photo,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.0,0.9312092065811157
