model,dataset,epochs,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9535043835639954
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9535768628120422
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9524171948432922
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9528520703315735
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9528883099555969
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9540479779243469
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9528883099555969
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9526346325874329
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9555700421333313
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9529607892036438
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.953395664691925
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9510038495063782
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9526346325874329
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9548452496528625
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9527795910835266
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9518736004829407
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9511850476264954
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9529970288276672
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9555700421333313
dCLNR,Physics,50,0.001,0.005,0.0,0.0001,512,0.5,0.4,0.2,0.9526708722114563
