model,dataset,epochs,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8210000395774841
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8240000605583191
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8110000491142273
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8200000524520874
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8190000653266907
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.815000057220459
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.815000057220459
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8160000443458557
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8190000653266907
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8170000314712524
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8070000410079956
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8160000443458557
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8190000653266907
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8220000267028809
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8180000185966492
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8170000314712524
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8270000219345093
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8290000557899475
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.8190000653266907
dCLNR,PubMed,200,0.001,0.01,0.0,0.0001,512,0.5,0.5,0.3,0.812000036239624
