model,dataset,epochs,layers,lr1,lr2,wd2,channels,patience,accuracy
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8130)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8100)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8130)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8240)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8120)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8030)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8120)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8200)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8220)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8020)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8080)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8140)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8060)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8100)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8160)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8160)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8190)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8000)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8060)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.7960)
