model,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.9022876024246216
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.9049019813537598
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.8977124691009521
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.907516360282898
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.9160131216049194
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.8993464112281799
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.9032679796218872
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.9016340374946594
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.8973856568336487
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.904411792755127
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.8870915174484253
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.8960784673690796
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.9039216041564941
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.8988562226295471
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.9016340374946594
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.8767974376678467
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.9065359830856323
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.894444465637207
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.9045751690864563
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,64,0.3,0.2,0.905718982219696
