model,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9292483925819397
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9303922057151794
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9308823943138123
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.926307201385498
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9290850162506104
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9256536364555359
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9281045794487
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9169934988021851
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9297385811805725
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9303922057151794
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9277778267860413
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9276143908500671
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9287582039833069
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9251634478569031
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.923202633857727
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9264706373214722
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9259804487228394
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9285948276519775
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9277778267860413
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9217320680618286
