model,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9276143908500671
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9227124452590942
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9186275005340576
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9199346899986267
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9323529601097107
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9302287697792053
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9261438250541687
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9321895837783813
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9233660697937012
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9246732592582703
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9256536364555359
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9225490689277649
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9274510145187378
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9377451539039612
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9248366355895996
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9212418794631958
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9274510145187378
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9272876381874084
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9295752048492432
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,512,0.5,0.3,0.9315359592437744
