model,dataset,epochs,out_dim,acc_mean,acc_std
nCLNR,CiteSeer,50,64,0.6993,0.01
nCLNR,CiteSeer,50,126,0.7114,0.0073
nCLNR,CiteSeer,50,256,0.7234,0.0087
nCLNR,CiteSeer,50,512,0.7254,0.0053
CLNR,CiteSeer,50,64,0.7219,0.0099
CLNR,CiteSeer,50,126,0.7265,0.0092
CLNR,CiteSeer,50,256,0.7257,0.0097
CLNR,CiteSeer,50,512,0.7307,0.004
GRACE,CiteSeer,100,64,0.6718,0.0128
GRACE,CiteSeer,100,126,0.6987,0.0108
GRACE,CiteSeer,100,256,0.7091,0.0142
GRACE,CiteSeer,100,512,0.7157,0.0145
CCA-SSG,CiteSeer,50,64,0.716,0.008
CCA-SSG,CiteSeer,50,126,0.7175,0.0081
CCA-SSG,CiteSeer,50,256,0.7256,0.003
CCA-SSG,CiteSeer,50,512,0.7325,0.0039
