model,dataset,epochs,noise,outlier,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR,Computers,200,,,0.8939,0.0038,-2.8784,0.0434,0.0776,0.0035
dCLNR,Computers,200,,,0.8854,0.0042,-2.9631,0.1583,0.1047,0.0071
GRACE,Computers,1000,,,0.8914,0.0035,-3.0323,0.0282,0.0808,0.0043
CCA-SSG,Computers,50,,,0.889,0.0027,-2.0683,0.0306,0.0535,0.0024
CLNR,Computers,200,,,0.8609,0.0054,-2.112,0.1436,0.1495,0.0115
dCLNR,Computers,200,,,0.8518,0.004,-1.8325,0.0656,0.1448,0.009
GRACE,Computers,1000,,,0.8493,0.0047,-2.57,0.0567,0.1983,0.0126
CCA-SSG,Computers,50,,,0.8494,0.0044,-1.3017,0.033,0.0794,0.0026
CLNR,Computers,200,,,0.8455,0.0043,-1.5666,0.1408,0.1174,0.0119
dCLNR,Computers,200,,,0.8282,0.005,-1.2256,0.0315,0.092,0.0039
GRACE,Computers,1000,,,0.8195,0.0065,-1.9812,0.4842,0.1653,0.056
CCA-SSG,Computers,50,,,0.8285,0.0049,-0.9223,0.0323,0.0593,0.003
CLNR,Computers,200,,,0.8312,0.0052,-1.261,0.0773,0.0926,0.0066
dCLNR,Computers,200,,,0.8119,0.0057,-0.9426,0.0219,0.071,0.0034
GRACE,Computers,1000,,,0.7956,0.0103,-1.3597,0.6764,0.1087,0.0755
CCA-SSG,Computers,50,,,0.8095,0.005,-0.7095,0.0313,0.0455,0.0025
CLNR,Computers,200,,,0.8241,0.0037,-0.9917,0.1012,0.0736,0.008
dCLNR,Computers,200,,,0.7895,0.0048,-0.7797,0.0279,0.0584,0.0027
GRACE,Computers,1000,,,0.7807,0.0159,-0.6862,0.4526,0.0409,0.0468
CCA-SSG,Computers,50,,,0.7991,0.0059,-0.5066,0.0532,0.0322,0.0037
