model,dataset,epochs,noise,outlier,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR,Computers,200,,,0.8929,0.005,-2.873,0.0785,0.0793,0.004
dCLNR,Computers,200,,,0.8826,0.0061,-3.0176,0.17,0.108,0.007
GRACE,Computers,1000,,,0.8899,0.0032,-3.0313,0.032,0.0828,0.0048
CCA-SSG,Computers,50,,,0.8873,0.0042,-2.0811,0.0286,0.0537,0.0027
CLNR,Computers,200,0.2,,0.8919,0.0035,-2.8633,0.0516,0.0799,0.0041
dCLNR,Computers,200,0.2,,0.882,0.0043,-2.8686,0.1282,0.1117,0.0055
GRACE,Computers,1000,0.2,,0.8894,0.0033,-3.0469,0.0276,0.0879,0.0045
CCA-SSG,Computers,50,0.2,,0.8853,0.0037,-2.0395,0.0368,0.0555,0.0033
CLNR,Computers,200,0.4,,0.888,0.0043,-2.8341,0.0466,0.0871,0.0046
dCLNR,Computers,200,0.4,,0.8789,0.0048,-2.6769,0.0323,0.1165,0.0049
GRACE,Computers,1000,0.4,,0.8867,0.0028,-3.0628,0.0287,0.0987,0.0051
CCA-SSG,Computers,50,0.4,,0.8793,0.0039,-1.9953,0.0524,0.0594,0.0031
CLNR,Computers,200,0.6,,0.8832,0.0049,-2.7699,0.0665,0.0941,0.0037
dCLNR,Computers,200,0.6,,0.8759,0.0044,-2.5812,0.0341,0.1259,0.0039
GRACE,Computers,1000,0.6,,0.8834,0.0038,-3.0783,0.0283,0.1123,0.0045
CCA-SSG,Computers,50,0.6,,0.8728,0.005,-1.9638,0.0347,0.0668,0.0028
CLNR,Computers,200,0.8,,0.8754,0.0039,-2.7364,0.0515,0.1012,0.0044
dCLNR,Computers,200,0.8,,0.872,0.0036,-2.5158,0.0314,0.1353,0.0052
GRACE,Computers,1000,0.8,,0.879,0.0032,-3.0638,0.033,0.1247,0.0031
CCA-SSG,Computers,50,0.8,,0.8655,0.0038,-1.9615,0.0381,0.0791,0.0043
