model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.934747040271759
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9322924017906189
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9299059510231018
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9302468299865723
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9284740686416626
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9332469701766968
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.932428777217865
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9337242841720581
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9320878386497498
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9329060912132263
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9320878386497498
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9338606595993042
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9340652227401733
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9337924718856812
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9314742088317871
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.932428777217865
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9273148775100708
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9341334104537964
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9281331300735474
SelfGCon,CS,50,2,0.5,0.001,0.005,0.01,512,0.1,0.3,0.9326333403587341
