model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8924741148948669
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8962915539741516
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8964733481407166
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.892292320728302
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8956553339958191
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8854753971099854
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8907471299171448
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8940192461013794
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8922014236450195
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8921105265617371
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8905653357505798
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8908380270004272
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8869296312332153
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8898382186889648
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8892019391059875
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.88929283618927
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8948373198509216
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8904744386672974
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8915651440620422
SelfGCon,Computers,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.0,0.8863843083381653
