model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8333333730697632
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8374884724617004
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8347184062004089
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8388735055923462
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8208679556846619
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8494921922683716
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.838411808013916
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8504155278205872
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.849953830242157
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8217913508415222
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8379501700401306
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8305632472038269
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8467220664024353
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8305632472038269
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8476454615592957
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8411819338798523
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8250231146812439
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8434903025627136
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8319482803344727
SelfGCon,Cora,50,2,0.7,0.001,0.005,0.0001,512,0.1,0.3,0.8467220664024353
