model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.936274528503418
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9377451539039612
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9320261478424072
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9258170127868652
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9323529601097107
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9361111521720886
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9343137741088867
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9279412031173706
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9336601495742798
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9320261478424072
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.935130774974823
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9316993951797485
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9287582039833069
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9303922057151794
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9313725829124451
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9305555820465088
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9312092065811157
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9348039627075195
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9295752048492432
SelfGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9315359592437744
