model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,True,0.8138025343418122
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,True,0.7896345019340515
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,True,0.8282596945762635
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,True,0.8302782416343689
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,True,0.798363345861435
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,True,0.7878341555595398
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,True,0.8289689183235168
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,True,0.8239498317241669
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,True,0.9241680443286896
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,True,0.9274413704872131
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,True,0.9213857293128968
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,True,0.9258047103881836
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,True,0.9214402735233307
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,True,0.9292962551116943
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,True,0.924222606420517
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,True,0.9290780186653137
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,True,0.9272777020931244
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,True,0.9324604630470276
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,True,0.9270049214363099
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,True,0.9299509227275848
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,True,0.9277141451835632
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,True,0.9279869198799133
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,True,0.9275504887104035
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,True,0.9321876883506774
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,True,0.9273868203163147
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,True,0.9349154591560364
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,True,0.9313147962093353
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,True,0.9342607975006103
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,True,0.9236770451068879
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,True,0.932187682390213
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,True,0.9271685898303985
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,True,0.9321331322193146
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,True,0.9262957036495209
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,True,0.9331151366233825
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,True,0.9284779191017151
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,True,0.9295144736766815
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,True,0.9239498138427734
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,True,0.9301145851612092
