model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.0,False,0.2426426440477371
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.0,False,0.21441441774368286
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.0,False,0.2408408433198929
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.0,False,0.22462462782859802
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.0,False,0.23543543815612794
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.0,False,0.21381381750106812
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.0,False,0.27147147059440613
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.0,False,0.2360360413789749
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.1,False,0.39039039611816406
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.1,False,0.37177178263664246
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.1,False,0.42822823524475095
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.1,False,0.3711711883544922
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.1,False,0.40660661458969116
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.1,False,0.3669669806957245
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.1,False,0.42582582831382754
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.1,False,0.3627627730369568
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.2,False,0.5819820046424866
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.2,False,0.49729729294776914
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.2,False,0.5975976109504699
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.2,False,0.4996997117996216
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.2,False,0.5861861944198609
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.2,False,0.5201201438903809
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.2,False,0.5753753900527954
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.2,False,0.4900901079177856
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.3,False,0.6894895076751709
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.3,False,0.5993994235992431
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.3,False,0.6720720887184143
SelfGCon,CiteSeer,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.3,False,0.5873874068260193
SelfGCon,CiteSeer,20,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.3,False,0.6642642855644226
