model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,Computers,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.6108363509178162
SelfGCon,Computers,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.48421816527843475
SelfGCon,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.8533818006515503
SelfGCon,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.7806545197963715
SelfGCon,Computers,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.5533818036317826
SelfGCon,Computers,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.4754181683063507
SelfGCon,Computers,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.8458908915519714
SelfGCon,Computers,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.7765817999839782
SelfGCon,Computers,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.828072702884674
SelfGCon,Computers,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.8410908937454223
SelfGCon,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.8765817940235138
SelfGCon,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.8877817988395691
SelfGCon,Computers,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.8347636163234711
SelfGCon,Computers,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.8466908872127533
SelfGCon,Computers,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.878763610124588
SelfGCon,Computers,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.8822545289993287
SelfGCon,Computers,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.8295272469520569
SelfGCon,Computers,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.8428363382816315
SelfGCon,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.8754908800125122
SelfGCon,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.8798545241355896
