model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.0,False,0.3166051745414734
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.0,False,0.32029520273208617
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.0,False,0.3254612565040588
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.0,False,0.2944649487733841
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.0,False,0.30184502005577085
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.0,False,0.3151291489601135
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.0,False,0.30627307295799255
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.0,False,0.2959409594535828
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.1,False,0.3586715877056122
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.1,False,0.3630996346473694
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.1,False,0.5099631130695343
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.1,False,0.4870848834514618
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.1,False,0.38819189071655275
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.1,False,0.3763837695121765
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.1,False,0.5077490746974945
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.1,False,0.49815497994422914
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.2,False,0.5793358087539673
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.2,False,0.5335793495178223
