model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.7458823680877685
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.4831372618675232
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.9082352995872498
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.8699346482753754
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.7733333468437195
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.43542484045028684
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.9081045806407928
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.8681045830249786
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.916470593214035
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.9253594815731049
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.9267973899841309
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.9298039257526398
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.9132026195526123
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.916470593214035
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.9295424878597259
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.9299346446990967
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.9137254953384399
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.9227451026439667
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.9286274552345276
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.932418304681778
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.9145098090171814
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.9226143836975098
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.9258823573589325
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.9295424878597259
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.9128104627132416
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.9223529458045959
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.929411768913269
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.9273202657699585
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,False,0.9112418353557586
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,False,0.905098044872284
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,False,0.9270588278770446
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,False,0.9325490236282349
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,False,0.9090196132659912
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,False,0.919477128982544
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.9273202657699585
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.9326797425746918
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,False,0.9074509859085083
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,False,0.9116339921951294
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.4,False,0.9313725531101227
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.4,False,0.9325490236282349
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.5,False,0.906405234336853
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.5,False,0.9216993510723114
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.9235294163227081
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.9330718994140625
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.5,False,0.8990849733352662
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.5,False,0.906405234336853
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.5,False,0.9245751678943634
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.5,False,0.9291503310203553
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.0,False,0.8286274611949921
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.0,False,0.6745098233222961
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.9159477174282074
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.9100653648376464
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.0,False,0.7975163519382477
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.0,False,0.6552941381931305
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.0,False,0.909281051158905
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.0,False,0.9126797437667846
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.1,False,0.9115032732486725
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.1,False,0.9254902005195618
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.9313725531101227
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.9315032720565796
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.1,False,0.9077124238014221
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.1,False,0.9227451026439667
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.1,False,0.9332026183605194
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.1,False,0.929411768913269
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.2,False,0.9133333384990692
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.2,False,0.9151634037494659
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.9253594815731049
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.9295424878597259
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.2,False,0.9141176521778107
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.2,False,0.9196078479290009
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.2,False,0.9313725531101227
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.2,False,0.932287585735321
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.3,False,0.9152941226959228
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.3,False,0.9203921616077423
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.9299346446990967
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.9245751678943634
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.3,False,0.9128104627132416
SelfGCon,Photo,50,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.3,False,0.9163398742675781
SelfGCon,Photo,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.3,False,0.9271895468235016
