model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.5218903958797455
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.5100608915090561
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.8222093284130096
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.528616988658905
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.5382429540157319
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.5083792418241501
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.7910408854484559
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.5276601910591125
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.8641635179519653
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.8537257134914398
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.9542476058006286
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.9530298590660096
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.8687445640563964
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.8573789358139038
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.9512322306632995
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.9518701016902924
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.9319222807884217
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.9258625626564025
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.95291388630867
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.9543925702571869
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.9328500986099243
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.9258915662765503
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.9551174104213714
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.9540736377239227
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.9396636605262756
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.9419831812381745
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.9529138803482056
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.9534647583961486
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,False,0.9410553693771362
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,False,0.9416642487049103
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,False,0.9542476117610932
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,False,0.9532328128814698
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,False,0.9420411646366119
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,False,0.9433748841285705
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.9530008614063263
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.9544505655765534
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,False,0.9396926581859588
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,False,0.9430559515953064
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.4,False,0.951812106370926
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.4,False,0.9543055891990662
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.5,False,0.9422151327133179
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.5,False,0.9462162911891937
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.9545665264129639
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.9546245276927948
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.5,False,0.9404754877090454
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.5,False,0.9459843337535858
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.5,False,0.9532328188419342
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.5,False,0.953377777338028
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.0,False,0.5734995603561401
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.0,False,0.5741084277629852
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.934067839384079
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.9401275753974915
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.0,False,0.595621919631958
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.0,False,0.5737895011901856
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.0,False,0.9353435754776
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.0,False,0.9353435635566711
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.1,False,0.8875326156616211
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.1,False,0.8926935255527496
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.9522760272026062
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.9535517394542694
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.1,False,0.8852131009101868
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.1,False,0.8964337348937989
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.1,False,0.9535807371139526
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.1,False,0.9547984898090363
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.2,False,0.9350536406040192
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.2,False,0.9322992146015168
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.9544505536556244
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.9546825051307678
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.2,False,0.9343867719173431
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.2,False,0.9310234785079956
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.2,False,0.954160624742508
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.2,False,0.955784273147583
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.3,False,0.9404754996299743
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.3,False,0.9412293434143066
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.9536677241325379
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.9540156483650207
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.3,False,0.9396056771278382
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.3,False,0.9401565670967102
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.3,False,0.9539576590061187
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.3,False,0.9543345928192138
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.4,False,0.9421861350536347
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.4,False,0.9469991266727448
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.9509712815284729
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.9552913725376129
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.4,False,0.9413453102111816
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.4,False,0.9450565338134765
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.4,False,0.953203821182251
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.4,False,0.9543055891990662
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.5,False,0.9409103989601135
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.1,0.5,False,0.9463322639465332
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.5,False,0.9532908082008362
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.5,False,0.9541896104812622
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.5,False,0.9420121788978577
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.1,0.5,False,0.9453174769878387
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.5,False,0.953609722852707
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.5,False,0.9536387383937835
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.2,0.0,False,0.6282110750675202
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.2,0.0,False,0.7016526520252228
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.9480139136314392
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.9506233632564545
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.2,0.0,False,0.6209625899791718
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.2,0.0,False,0.6458103716373443
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.0,False,0.9467381775379181
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.0,False,0.9494926035404205
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.2,0.1,False,0.9093360364437103
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.2,0.1,False,0.9118005156517028
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.9509133040904999
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.9550594389438629
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.01,256,0.2,0.1,False,0.9048419773578644
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.01,256,0.2,0.1,False,0.9157726764678955
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.1,False,0.9534647643566132
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.1,False,0.9533197939395904
SelfGCon,Physics,20,2,0.5,0.001,0.0,0.01,0.01,256,0.2,0.2,False,0.9391997635364533
SelfGCon,Physics,50,2,0.5,0.001,0.0,0.01,0.01,256,0.2,0.2,False,0.9373731434345245
