model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.0,False,0.5293103218078613
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.0,False,0.5283975481987
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.0,False,0.7610547661781311
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.0,False,0.7701825380325318
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.0,False,0.5570993781089782
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.0,False,0.5531440019607544
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.0,False,0.7637930750846863
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.0,False,0.7738336682319641
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.1,False,0.5663285732269288
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.1,False,0.582860016822815
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.1,False,0.769472599029541
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.1,False,0.7717038154602051
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.1,False,0.5451318383216858
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.1,False,0.5392494797706604
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.1,False,0.6625760585069657
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.1,False,0.7757606387138367
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.2,False,0.5423934936523438
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.2,False,0.4299188554286957
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.2,False,0.776166307926178
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.2,False,0.6590263485908509
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.2,False,0.513793095946312
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.2,False,0.5716024279594422
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.2,False,0.7666328430175782
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.2,False,0.7747464299201965
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.3,False,0.5802231132984161
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.3,False,0.49574035704135894
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.3,False,0.7924949169158936
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.3,False,0.7997971415519715
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.3,False,0.6088235139846802
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.3,False,0.5346855968236923
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.3,False,0.7923934817314148
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.3,False,0.7853955149650573
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.4,False,0.6051724076271057
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.4,False,0.5851926803588867
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.4,False,0.7818458199501037
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.4,False,0.78945232629776
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.4,False,0.5121703714132309
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.4,False,0.5073022186756134
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.4,False,0.7874239206314086
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.4,False,0.7930020093917847
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.5,False,0.5610547602176666
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.0,0.5,False,0.5770790934562683
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.5,False,0.7893508911132813
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.0,0.5,False,0.6730223029851914
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.5,False,0.5690669298171998
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.01,128,0.0,0.5,False,0.5674442052841187
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.5,False,0.7783975601196289
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.0,0.5,False,0.7899594068527221
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.0,False,0.5852941155433655
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.0,False,0.6043610453605652
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.0,False,0.7673427700996399
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.0,False,0.7697768568992615
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.0,False,0.4810344785451889
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.0,False,0.5127788960933686
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.0,False,0.7734279751777648
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.0,False,0.7673427820205688
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.1,False,0.5333671331405639
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.1,False,0.5809330582618714
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.1,False,0.7867139935493469
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.1,False,0.7652129650115966
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.1,False,0.5755577921867371
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.1,False,0.596146023273468
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.1,False,0.7732251405715942
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.1,False,0.7738336682319641
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.2,False,0.4949290037155151
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.2,False,0.5416835606098175
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.2,False,0.787829601764679
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.2,False,0.7709938883781433
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.2,False,0.535598361492157
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.2,False,0.5958417654037476
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.2,False,0.7660243153572083
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.2,False,0.6682555764913559
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.3,False,0.5586206614971161
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.3,False,0.5761663019657135
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.3,False,0.780628776550293
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.3,False,0.6707910448312759
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.3,False,0.5976673126220703
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.3,False,0.5763691544532776
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.3,False,0.7851926803588867
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.3,False,0.787829601764679
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.4,False,0.5508113384246827
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.4,False,0.5822514891624451
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.4,False,0.7747464418411255
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.4,False,0.7991886258125305
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.4,False,0.5762677431106568
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.4,False,0.42494926750659945
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.4,False,0.7666328430175782
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.4,False,0.785598361492157
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.5,False,0.5713995814323425
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.5,False,0.5730223000049591
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.5,False,0.7803245067596436
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.5,False,0.7815415501594544
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.5,False,0.5987829566001892
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.5,False,0.5075050592422485
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.5,False,0.7812373280525208
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.5,False,0.6663285851478576
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.2,0.0,False,0.5708924770355225
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.2,0.0,False,0.5759634733200073
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.2,0.0,False,0.7534482598304748
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.2,0.0,False,0.7665314316749573
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.01,128,0.2,0.0,False,0.5281947195529938
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.01,128,0.2,0.0,False,0.5177484691143036
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.2,0.0,False,0.7816429853439331
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.2,0.0,False,0.7560851693153381
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.01,128,0.2,0.1,False,0.577281939983368
SelfGCon,PubMed,50,1,0.1,0.001,0.0,0.01,0.01,128,0.2,0.1,False,0.5886409640312195
SelfGCon,PubMed,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.2,0.1,False,0.7784989714622498
