model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7150000333786011
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7310000061988831
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7310000061988831
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7260000109672546
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7300000190734863
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7330000400543213
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7260000109672546
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7230000495910645
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.706000030040741
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7210000157356262
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7230000495910645
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7220000624656677
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7190000414848328
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7350000143051147
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7270000576972961
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7270000576972961
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7240000367164612
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7430000305175781
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.737000048160553
SemiGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7170000076293945
