model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8480000495910645
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8360000252723694
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8410000205039978
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8380000591278076
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8330000638961792
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8410000205039978
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8390000462532043
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.843000054359436
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8450000286102295
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.831000030040741
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8350000381469727
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8380000591278076
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8360000252723694
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8360000252723694
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8370000123977661
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8270000219345093
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8270000219345093
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8420000672340393
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8370000123977661
SemiGCon,Cora,50,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.8470000624656677
