model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9282680153846741
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9357843399047852
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.926960825920105
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9261438250541687
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9295752048492432
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9284313917160034
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9285948276519775
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9310457706451416
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9303922057151794
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9326797723770142
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9348039627075195
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9251634478569031
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9310457706451416
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9325163960456848
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9266340136528015
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9310457706451416
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9339869618415833
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9333333373069763
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9321895837783813
SemiGCon,Photo,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.9328431487083435
