model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8090000152587891
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8060000538825989
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8100000619888306
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8060000538825989
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8140000104904175
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8210000395774841
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8130000233650208
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8030000329017639
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.7990000247955322
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8220000267028809
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8340000510215759
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.815000057220459
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.7910000085830688
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8190000653266907
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8050000667572021
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8110000491142273
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8240000605583191
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.831000030040741
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8060000538825989
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.0001,256,0.5,0.3,0.8130000233650208
