model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.4696000158786774
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.4502000242471695
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.45000001788139343
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.4280000180006027
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.45880002081394194
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.444400018453598
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.4680000215768814
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.4206000238656998
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.7460000276565552
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.72540003657341
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.7654000341892242
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.7568000435829163
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.7266000390052796
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.7336000263690948
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.7662000358104706
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.7662000298500061
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.7628000319004059
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.765600037574768
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.7834000289440155
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.7940000295639038
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.7590000331401825
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.7538000345230103
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.7776000320911407
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.788200044631958
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.7670000195503235
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.7764000356197357
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.7748000383377075
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.7934000372886658
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,False,0.7538000345230103
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,False,0.7680000364780426
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,False,0.7728000402450561
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,False,0.7960000336170197
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,False,0.7390000402927399
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,False,0.7738000452518463
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.7776000320911407
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.7910000324249268
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,False,0.7380000352859497
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,False,0.7656000435352326
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.4,False,0.7816000342369079
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.4,False,0.7876000344753266
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.5,False,0.7094000399112701
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.5,False,0.7640000343322754
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.7758000373840332
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.7864000380039216
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.5,False,0.7048000276088715
SemiGCon,Cora,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.5,False,0.7536000370979309
SemiGCon,Cora,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.5,False,0.7680000305175781
