model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SemiGCon,PubMed,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.5344000279903411
SemiGCon,PubMed,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.48300002217292787
SemiGCon,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.5200000315904617
SemiGCon,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.4734000235795975
SemiGCon,PubMed,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.5178000271320343
SemiGCon,PubMed,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.4860000222921371
SemiGCon,PubMed,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.5272000253200531
SemiGCon,PubMed,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.47100001871585845
SemiGCon,PubMed,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.7892000496387481
SemiGCon,PubMed,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.7728000223636627
SemiGCon,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.806000030040741
SemiGCon,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.7894000291824341
SemiGCon,PubMed,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.787600040435791
SemiGCon,PubMed,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.7778000414371491
SemiGCon,PubMed,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.8110000431537628
SemiGCon,PubMed,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.7826000332832337
SemiGCon,PubMed,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.7878000378608704
SemiGCon,PubMed,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.8082000494003296
SemiGCon,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.8254000425338746
SemiGCon,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.8328000366687774
