model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.8423999786376953
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.7886545300483704
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.7335272490978241
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.8823272407054901
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.8823272585868835
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.8810181617736816
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.8816726982593537
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.882981789112091
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.8837090730667114
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.8743999779224396
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.8759272456169128
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.8784726977348327
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.8753454267978669
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.8785454332828522
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.8778908908367157
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.8749090731143951
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.8771636128425598
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.8799272537231445
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.8586908876895905
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.8655272543430328
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.8707636177539826
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.8802181541919708
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.8882181525230408
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.884218156337738
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.872654527425766
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.8854545176029205
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.8831272542476654
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.8773090660572052
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.8783272445201874
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.8826181650161743
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.878181791305542
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.881745433807373
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.8773090660572052
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.5,False,0.8730181634426117
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.5,False,0.8815272510051727
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.5,False,0.8770908892154694
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.8698181569576263
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.8735272526741028
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.8837090849876403
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.8794908821582794
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.8853817939758301
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.8875636100769043
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.2,False,0.8811636090278625
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.2,False,0.8761454284191131
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.2,False,0.8841454327106476
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.3,False,0.8751999735832214
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.3,False,0.8882181584835053
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.3,False,0.8789817929267884
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.4,False,0.8731636226177215
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.4,False,0.8797817945480346
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.4,False,0.8791999697685242
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.5,False,0.8696726977825164
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.5,False,0.8754908800125122
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.5,False,0.8760726988315582
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.0,False,0.8724363446235657
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.0,False,0.8797090649604797
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.0,False,0.8922908842563629
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.1,False,0.8766545295715332
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.1,False,0.8855272471904755
CLGR,Computers,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.1,False,0.8837817966938019
CLGR,Computers,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.2,False,0.8769454240798951
CLGR,Computers,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.2,False,0.8824727058410644
