model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CLGR,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,True,0.8272777020931243
CLGR,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,True,0.8210583865642548
CLGR,CS,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,True,0.8266775965690613
CLGR,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,True,0.9213857173919677
CLGR,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,True,0.9319149136543274
CLGR,CS,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,True,0.9325695812702179
CLGR,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,True,0.9261320412158967
CLGR,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,True,0.9315330147743225
CLGR,CS,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,True,0.9316421389579773
CLGR,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,True,0.9253682672977448
CLGR,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,True,0.9314784705638885
CLGR,CS,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,True,0.937479555606842
CLGR,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,True,0.926513922214508
CLGR,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,True,0.9314239084720611
CLGR,CS,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,True,0.9291871309280395
CLGR,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,True,0.9234042644500733
CLGR,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,True,0.9301145792007446
CLGR,CS,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,True,0.9337697923183441
CLGR,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,True,0.8258592545986175
CLGR,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,True,0.8201855003833771
CLGR,CS,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,True,0.8243317127227783
CLGR,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,True,0.9227495968341828
CLGR,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,True,0.9257501542568207
