model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,feat_mask_rate,edge_drop_rate,mlp_use,val_acc
CLGR,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.2682000070810318
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.27660001814365387
CLGR,CiteSeer,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.25900001227855685
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.2540000110864639
CLGR,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.7008000314235687
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.693200021982193
CLGR,CiteSeer,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.6640000343322754
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.6650000274181366
CLGR,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.7172000348567963
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7192000329494477
CLGR,CiteSeer,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.7144000351428985
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7190000355243683
CLGR,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.0,False,0.7216000318527221
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.7174000322818757
CLGR,CiteSeer,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.0,False,0.7278000354766846
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.7254000306129456
CLGR,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.0,False,0.721200031042099
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.723000031709671
CLGR,CiteSeer,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.0,False,0.7238000273704529
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.7286000370979309
CLGR,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.0,False,0.7092000305652618
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7158000409603119
CLGR,CiteSeer,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.0,False,0.7256000399589538
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7250000417232514
CLGR,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.588800024986267
