model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,feat_mask_rate,edge_drop_rate,mlp_use,val_acc
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.4344000190496445
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.44160002171993257
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.4296000212430954
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.4332000195980072
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.7696000397205353
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.7660000383853912
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.7612000346183777
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.7534000337123871
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.775400048494339
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7836000323295593
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.7892000436782837
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7842000305652619
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.0,False,0.7796000361442565
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.7824000298976899
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.0,False,0.7964000463485718
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.8052000403404236
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.0,False,0.7790000319480896
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.7788000404834747
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.0,False,0.7914000451564789
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.7934000372886658
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.0,False,0.7684000253677368
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7700000405311584
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.0,False,0.7880000293254852
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7798000335693359
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.7438000321388245
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.7394000351428985
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.7190000236034393
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.720600038766861
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.7786000370979309
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.7896000385284424
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.7928000390529633
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.7888000309467316
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.7912000358104706
