model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.909281051158905
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.8674509882926941
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.8559477210044861
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.9315032720565796
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.9283660173416137
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.9350326836109162
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.9299346446990967
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.9267973899841309
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.9335947751998901
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.9258823573589325
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.9307189583778381
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.9300653636455536
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.9278431415557862
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.9274509847164154
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.9326797425746918
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.9239215731620789
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.9325490236282349
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.9295424878597259
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.9151634037494659
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.9125490248203277
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.9192156910896301
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.9328104615211487
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.9257516384124755
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.9400000035762787
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.9325490236282349
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.9343790888786316
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.9309803962707519
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.9321568667888641
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.929411768913269
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.933856213092804
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.932418304681778
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.9305882394313812
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.933856213092804
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.5,False,0.9284967362880707
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.5,False,0.9237908542156219
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.5,False,0.9279738605022431
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.917908501625061
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.9205228805541992
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.9211764752864837
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.9298039257526398
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.9364705920219422
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.9288888931274414
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.2,False,0.9290196120738983
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.2,False,0.936601310968399
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.2,False,0.9304575204849244
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.3,False,0.9305882394313812
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.3,False,0.9326797425746918
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.3,False,0.9335947751998901
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.4,False,0.9300653636455536
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.4,False,0.933856213092804
CLGR,Photo,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.4,False,0.9335947751998901
CLGR,Photo,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.5,False,0.9253594815731049
CLGR,Photo,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.5,False,0.9267973899841309
