model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CLGR,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.7986082851886749
CLGR,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.5344737529754638
CLGR,Physics,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.5180632054805756
CLGR,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.954827481508255
CLGR,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.9516091644763947
CLGR,Physics,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.9508263170719147
CLGR,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.9527109265327454
CLGR,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.953029853105545
CLGR,Physics,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.9523629963397979
CLGR,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.952971875667572
CLGR,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.9565381228923797
CLGR,Physics,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.9545665323734284
CLGR,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.9547984898090363
CLGR,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.9542186081409454
CLGR,Physics,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.9544505536556244
CLGR,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.9526529431343078
CLGR,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.9551754057407379
CLGR,Physics,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.9539286613464355
CLGR,Physics,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.9336329281330109
CLGR,Physics,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.9353435575962067
CLGR,Physics,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.9331110417842865
