model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,feat_mask_rate,edge_drop_rate,mlp_use,val_acc
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.5222000271081925
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.4734000235795975
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.47720002233982084
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.8016000390052795
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.7936000406742096
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.7792000353336335
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.8272000432014466
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.8284000396728516
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.8100000321865082
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.0,False,0.8206000447273254
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.0,False,0.8452000439167022
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.0,False,0.8348000526428223
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.0,False,0.8110000371932984
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.0,False,0.8452000439167022
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.0,False,0.8446000516414642
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.0,False,0.8044000387191772
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.0,False,0.8386000335216522
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.0,False,0.8496000349521637
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.7106000363826752
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.7068000316619873
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.7116000413894653
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.8220000386238098
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.8064000308513641
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.7872000336647034
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.8292000353336334
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.8306000411510468
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.8240000367164612
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.1,False,0.8268000364303589
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.1,False,0.8458000540733337
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.1,False,0.8386000335216522
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.1,False,0.8178000390529633
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.1,False,0.8444000482559204
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.1,False,0.8476000487804413
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.1,False,0.7996000349521637
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.1,False,0.8368000447750091
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.1,False,0.8496000349521637
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.7654000341892242
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.7644000291824341
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.7526000261306762
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.8268000364303589
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.8140000402927399
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.8030000329017639
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.2,False,0.8316000401973724
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.2,False,0.8314000487327575
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.2,False,0.8264000475406647
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.2,False,0.8198000490665436
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.2,False,0.8484000444412232
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.2,False,0.8382000386714935
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.2,False,0.813200032711029
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.2,False,0.8482000410556794
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.2,False,0.8470000386238098
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.2,False,0.8014000475406646
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.2,False,0.8418000400066376
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.2,False,0.8544000327587128
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.7976000428199768
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.7822000324726105
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.7722000360488892
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.838200044631958
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.8262000441551208
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.8196000397205353
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.3,False,0.8364000439643859
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.3,False,0.8396000444889069
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.3,False,0.8358000338077545
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.3,False,0.8228000402450562
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.3,False,0.8458000421524048
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.3,False,0.8428000390529633
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.3,False,0.8162000358104706
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.3,False,0.8466000318527221
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.3,False,0.8474000453948974
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.3,False,0.8066000401973724
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.3,False,0.8414000451564789
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.3,False,0.8510000348091126
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.8180000245571136
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.8000000357627869
CLGR,PubMed,100,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.787000048160553
CLGR,PubMed,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.8388000428676605
CLGR,PubMed,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.828400045633316
