model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CLGR,CS,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,True,0.8270049214363098
CLGR,CS,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,True,0.8283688127994537
CLGR,CS,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,True,0.8236224830150605
CLGR,CS,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,True,0.917566841840744
CLGR,CS,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,True,0.9258592665195465
CLGR,CS,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,True,0.9259138166904449
CLGR,CS,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,True,0.9289143681526184
CLGR,CS,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,True,0.9292416930198669
CLGR,CS,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,True,0.9309329211711883
CLGR,CS,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,True,0.9292962551116943
CLGR,CS,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,True,0.9314784705638885
CLGR,CS,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,True,0.9334970235824585
CLGR,CS,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,True,0.9248227119445801
CLGR,CS,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,True,0.92913259267807
CLGR,CS,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,True,0.9313147962093353
CLGR,CS,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,True,0.9271686017513275
CLGR,CS,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,True,0.93115114569664
CLGR,CS,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,True,0.9362247705459594
