model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,feat_mask_rate,edge_drop_rate,mlp_use,val_acc
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.26920000910758973
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.2564000114798546
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.2324000120162964
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.6998000383377075
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.6620000243186951
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.6208000302314758
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7180000364780426
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7124000370502472
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.6892000377178192
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.721200042963028
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.7308000385761261
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.7130000293254852
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.7220000326633453
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.7302000284194946
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.7242000341415405
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7146000266075134
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7234000384807586
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7262000381946564
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.5908000290393829
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.5158000230789185
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.45640002489089965
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.7150000393390655
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.6872000336647034
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.6556000351905823
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.1,False,0.7118000447750091
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.1,False,0.7184000313282013
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.1,False,0.7038000285625458
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.1,False,0.7206000328063965
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.1,False,0.7282000303268432
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.1,False,0.7244000375270844
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.1,False,0.7196000337600708
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.1,False,0.7274000406265259
