model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CLGR,Computers,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.8515636146068573
CLGR,Computers,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.780509066581726
CLGR,Computers,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.7318545281887054
CLGR,Computers,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.8791999816894531
CLGR,Computers,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.8828363537788391
CLGR,Computers,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.8784726977348327
CLGR,Computers,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.8780363440513611
CLGR,Computers,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.8837090730667114
CLGR,Computers,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.8831272482872009
CLGR,Computers,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.8729454338550567
CLGR,Computers,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.8771636128425598
CLGR,Computers,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.882545429468155
CLGR,Computers,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.8773090600967407
CLGR,Computers,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.8770908832550048
CLGR,Computers,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.8755636155605316
CLGR,Computers,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.8729454338550567
CLGR,Computers,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.8747636139392853
CLGR,Computers,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.8820363402366638
CLGR,Computers,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.8630545258522033
CLGR,Computers,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.8669090569019318
CLGR,Computers,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.8677090704441071
CLGR,Computers,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.878109073638916
CLGR,Computers,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.8873454391956329
CLGR,Computers,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.8882908880710602
CLGR,Computers,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.2,False,0.8808727025985718
CLGR,Computers,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.2,False,0.8846545279026031
CLGR,Computers,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.2,False,0.8802908897399903
CLGR,Computers,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.8738181591033936
