model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,feat_mask_rate,edge_drop_rate,mlp_use,val_acc
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.45960001945495604
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.43060002028942107
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.3924000173807144
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.7652000367641449
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.7604000329971313
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.7392000377178192
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7832000434398652
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7938000380992889
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7868000328540802
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.7814000368118286
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.8034000337123871
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.8114000260829926
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.7694000363349914
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.7946000397205353
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.809000039100647
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.773600035905838
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7834000408649444
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7994000434875488
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.7400000393390656
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.7162000358104705
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.687000036239624
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.7800000369548797
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.7928000330924988
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.7852000296115875
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.1,False,0.7874000430107116
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.1,False,0.8064000308513641
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.1,False,0.8044000387191772
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.1,False,0.7804000377655029
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.1,False,0.8062000334262848
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.1,False,0.8060000360012054
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.1,False,0.7810000360012055
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.1,False,0.805400037765503
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.1,False,0.8152000367641449
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.1,False,0.7794000327587127
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.1,False,0.7858000278472901
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.1,False,0.8082000315189362
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.7866000354290008
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.7770000278949738
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.7476000428199768
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.2,False,0.7896000444889069
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.2,False,0.8026000380516052
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.2,False,0.7990000307559967
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.2,False,0.7860000371932984
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.2,False,0.8050000309944153
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.2,False,0.8090000450611115
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.2,False,0.7870000422000885
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.2,False,0.8056000351905823
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.2,False,0.8148000419139863
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.2,False,0.7856000363826752
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.2,False,0.8018000423908234
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.2,False,0.8182000339031219
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.2,False,0.7794000387191773
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.2,False,0.7862000465393066
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.2,False,0.809600031375885
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.8028000295162201
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.7966000437736511
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.7764000356197357
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.7902000367641449
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.8148000538349152
