model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CLGR,Physics,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.7983183562755585
CLGR,Physics,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.5308495223522186
CLGR,Physics,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.5200927793979645
CLGR,Physics,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.9520440578460694
CLGR,Physics,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.9527109265327454
CLGR,Physics,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.9506523549556732
CLGR,Physics,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.9532038271427155
CLGR,Physics,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.9554943382740021
CLGR,Physics,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.9541316270828247
CLGR,Physics,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.9529428780078888
CLGR,Physics,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.9521600425243377
CLGR,Physics,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.9543925702571869
CLGR,Physics,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.953261810541153
CLGR,Physics,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.9551174283027649
CLGR,Physics,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.9553493738174439
CLGR,Physics,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.9526239395141601
CLGR,Physics,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.9526239454746246
CLGR,Physics,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.9561612069606781
CLGR,Physics,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.9363293707370758
