model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,feat_mask_rate,edge_drop_rate,mlp_use,val_acc
CLGR,PubMed,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.5354000210762024
CLGR,PubMed,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.4778000235557556
CLGR,PubMed,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.4772000193595886
CLGR,PubMed,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.8130000472068787
CLGR,PubMed,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.7962000370025635
CLGR,PubMed,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.7716000318527222
CLGR,PubMed,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.8302000463008881
CLGR,PubMed,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.8308000326156616
CLGR,PubMed,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.8142000257968902
CLGR,PubMed,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.8280000448226928
CLGR,PubMed,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.8438000380992889
CLGR,PubMed,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.8402000367641449
CLGR,PubMed,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.8130000472068787
CLGR,PubMed,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.8426000356674195
CLGR,PubMed,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.8442000448703766
CLGR,PubMed,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.8018000364303589
CLGR,PubMed,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.8356000423431397
