model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,feat_mask_rate,edge_drop_rate,mlp_use,val_acc
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.37147147953510284
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.2954955011606216
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.2432432472705841
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.7117117285728455
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.7063063204288482
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.6750750958919525
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7252252459526062
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7048048138618469
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7135135293006897
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.7297297537326812
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.7297297477722168
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.7189189374446869
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.732732754945755
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.7324324607849121
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.7420420587062836
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7231231451034545
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7294294655323028
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7360360503196717
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.6381381571292877
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.5981982111930847
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.5690690875053406
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.7135135233402252
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.7180180430412293
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.7042042076587677
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.1,False,0.7288288533687591
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.1,False,0.7186186254024506
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.1,False,0.7363363564014435
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.1,False,0.7276276469230651
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.1,False,0.7105105221271515
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.1,False,0.7321321606636048
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.1,False,0.7249249517917633
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.1,False,0.7378378629684448
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.1,False,0.7363363564014435
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.1,False,0.738738763332367
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.1,False,0.736036068201065
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.1,False,0.7315315485000611
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.6876877009868622
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.6498498678207397
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.6336336553096771
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.2,False,0.7261261463165283
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.2,False,0.7165165305137634
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.2,False,0.705705714225769
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.2,False,0.722222238779068
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.2,False,0.7261261522769928
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.2,False,0.7426426708698273
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.2,False,0.7261261522769928
