model,dataset,num of neg samples,accuracy
CLGR,CS,2,0.8679940104484558
CLGR,CS,2,0.8696304559707642
CLGR,CS,2,0.8498568534851074
CLGR,CS,2,0.8500614166259766
CLGR,CS,2,0.856402575969696
CLGR,CS,2,0.854152500629425
CLGR,CS,2,0.8840174674987793
CLGR,CS,2,0.8686758875846863
CLGR,CS,2,0.8604254722595215
CLGR,CS,2,0.8513569235801697
CLGR,CS,2,0.8475385308265686
CLGR,CS,2,0.8499932289123535
CLGR,CS,2,0.8545616269111633
CLGR,CS,2,0.8621982932090759
CLGR,CS,2,0.8524478673934937
CLGR,CS,2,0.8597436547279358
CLGR,CS,2,0.8411291837692261
CLGR,CS,2,0.8615846633911133
CLGR,CS,2,0.8592663407325745
CLGR,CS,2,0.8641756772994995
CLGR,CS,8,0.9282013177871704
CLGR,CS,8,0.926496684551239
CLGR,CS,8,0.9292922616004944
CLGR,CS,8,0.9290876984596252
CLGR,CS,8,0.9232919812202454
CLGR,CS,8,0.9241102337837219
CLGR,CS,8,0.9263603091239929
CLGR,CS,8,0.9303832054138184
CLGR,CS,8,0.9240420460700989
CLGR,CS,8,0.9295650124549866
CLGR,CS,8,0.926428496837616
CLGR,CS,8,0.925405740737915
CLGR,CS,8,0.9286786317825317
CLGR,CS,8,0.9279285669326782
CLGR,CS,8,0.9288149476051331
CLGR,CS,8,0.9311332702636719
CLGR,CS,8,0.9258829951286316
CLGR,CS,8,0.9306559562683105
CLGR,CS,8,0.9240420460700989
CLGR,CS,8,0.9234965443611145
CLGR,CS,32,0.9262921214103699
CLGR,CS,32,0.9303150177001953
CLGR,CS,32,0.927587628364563
CLGR,CS,32,0.9303150177001953
CLGR,CS,32,0.9294286370277405
CLGR,CS,32,0.9306559562683105
CLGR,CS,32,0.9318832755088806
CLGR,CS,32,0.9318150877952576
CLGR,CS,32,0.9323605895042419
CLGR,CS,32,0.9320196509361267
CLGR,CS,32,0.9314060211181641
CLGR,CS,32,0.932428777217865
CLGR,CS,32,0.9295650124549866
CLGR,CS,32,0.9284740686416626
CLGR,CS,32,0.9336560964584351
CLGR,CS,32,0.9304513931274414
CLGR,CS,32,0.9328379034996033
CLGR,CS,32,0.9322242140769958
CLGR,CS,32,0.9327015280723572
CLGR,CS,32,0.9303150177001953
CLGR,CS,128,0.9316787719726562
CLGR,CS,128,0.932428777217865
CLGR,CS,128,0.9330424666404724
CLGR,CS,128,0.9333151578903198
CLGR,CS,128,0.9320196509361267
CLGR,CS,128,0.9354289174079895
CLGR,CS,128,0.9337924718856812
CLGR,CS,128,0.933587908744812
CLGR,CS,128,0.9344061613082886
CLGR,CS,128,0.9363834857940674
CLGR,CS,128,0.9316105842590332
CLGR,CS,128,0.9320878386497498
CLGR,CS,128,0.9320196509361267
CLGR,CS,128,0.9307241439819336
CLGR,CS,128,0.9310650825500488
CLGR,CS,128,0.9326333403587341
CLGR,CS,128,0.9325651526451111
CLGR,CS,128,0.9337924718856812
CLGR,CS,128,0.9337924718856812
CLGR,CS,128,0.9310650825500488
CLGR,CS,512,0.9322242140769958
CLGR,CS,512,0.9307923316955566
CLGR,CS,512,0.9283376932144165
CLGR,CS,512,0.9281331300735474
CLGR,CS,512,0.933519721031189
CLGR,CS,512,0.9300423264503479
CLGR,CS,512,0.9314060211181641
CLGR,CS,512,0.9345425367355347
CLGR,CS,512,0.9289513230323792
CLGR,CS,512,0.9316787719726562
CLGR,CS,512,0.9341334104537964
CLGR,CS,512,0.9312014579772949
CLGR,CS,512,0.9323605895042419
CLGR,CS,512,0.9316105842590332
CLGR,CS,512,0.9308605194091797
CLGR,CS,512,0.9320196509361267
CLGR,CS,512,0.9294286370277405
CLGR,CS,512,0.9343379735946655
CLGR,CS,512,0.9360425472259521
CLGR,CS,512,0.9270421862602234
