model,dataset,num of neg samples,accuracy
CLGR,CiteSeer,2,0.687000036239624
CLGR,CiteSeer,2,0.6910000443458557
CLGR,CiteSeer,2,0.7040000557899475
CLGR,CiteSeer,2,0.6960000395774841
CLGR,CiteSeer,2,0.659000039100647
CLGR,CiteSeer,2,0.6430000066757202
CLGR,CiteSeer,2,0.6720000505447388
CLGR,CiteSeer,2,0.6740000247955322
CLGR,CiteSeer,2,0.6730000376701355
CLGR,CiteSeer,2,0.6720000505447388
CLGR,CiteSeer,2,0.6970000267028809
CLGR,CiteSeer,2,0.6690000295639038
CLGR,CiteSeer,2,0.6620000600814819
CLGR,CiteSeer,2,0.6980000138282776
CLGR,CiteSeer,2,0.675000011920929
CLGR,CiteSeer,2,0.687000036239624
CLGR,CiteSeer,2,0.6770000457763672
CLGR,CiteSeer,2,0.6720000505447388
CLGR,CiteSeer,2,0.6830000281333923
CLGR,CiteSeer,2,0.675000011920929
CLGR,CiteSeer,8,0.7020000219345093
CLGR,CiteSeer,8,0.7100000381469727
CLGR,CiteSeer,8,0.7360000610351562
CLGR,CiteSeer,8,0.703000009059906
CLGR,CiteSeer,8,0.7140000462532043
CLGR,CiteSeer,8,0.7130000591278076
CLGR,CiteSeer,8,0.7200000286102295
CLGR,CiteSeer,8,0.706000030040741
CLGR,CiteSeer,8,0.7070000171661377
CLGR,CiteSeer,8,0.7090000510215759
CLGR,CiteSeer,8,0.7300000190734863
CLGR,CiteSeer,8,0.7160000205039978
CLGR,CiteSeer,8,0.7270000576972961
CLGR,CiteSeer,8,0.7220000624656677
CLGR,CiteSeer,8,0.7210000157356262
CLGR,CiteSeer,8,0.690000057220459
CLGR,CiteSeer,8,0.7280000448226929
CLGR,CiteSeer,8,0.7170000076293945
CLGR,CiteSeer,8,0.7000000476837158
CLGR,CiteSeer,8,0.706000030040741
CLGR,CiteSeer,32,0.7280000448226929
CLGR,CiteSeer,32,0.7230000495910645
CLGR,CiteSeer,32,0.7290000319480896
CLGR,CiteSeer,32,0.7190000414848328
CLGR,CiteSeer,32,0.7220000624656677
CLGR,CiteSeer,32,0.7390000224113464
CLGR,CiteSeer,32,0.7090000510215759
CLGR,CiteSeer,32,0.7240000367164612
CLGR,CiteSeer,32,0.7350000143051147
CLGR,CiteSeer,32,0.7450000643730164
CLGR,CiteSeer,32,0.7230000495910645
CLGR,CiteSeer,32,0.7270000576972961
CLGR,CiteSeer,32,0.7310000061988831
CLGR,CiteSeer,32,0.7170000076293945
CLGR,CiteSeer,32,0.7350000143051147
CLGR,CiteSeer,32,0.7230000495910645
CLGR,CiteSeer,32,0.7190000414848328
CLGR,CiteSeer,32,0.7170000076293945
CLGR,CiteSeer,32,0.7250000238418579
CLGR,CiteSeer,32,0.7200000286102295
CLGR,CiteSeer,128,0.7210000157356262
CLGR,CiteSeer,128,0.7420000433921814
CLGR,CiteSeer,128,0.7280000448226929
CLGR,CiteSeer,128,0.7220000624656677
CLGR,CiteSeer,128,0.7170000076293945
CLGR,CiteSeer,128,0.734000027179718
CLGR,CiteSeer,128,0.7200000286102295
CLGR,CiteSeer,128,0.7210000157356262
CLGR,CiteSeer,128,0.7280000448226929
CLGR,CiteSeer,128,0.7300000190734863
CLGR,CiteSeer,128,0.7350000143051147
CLGR,CiteSeer,128,0.7320000529289246
CLGR,CiteSeer,128,0.7330000400543213
CLGR,CiteSeer,128,0.7200000286102295
CLGR,CiteSeer,128,0.7200000286102295
CLGR,CiteSeer,128,0.7210000157356262
CLGR,CiteSeer,128,0.7260000109672546
CLGR,CiteSeer,128,0.7280000448226929
CLGR,CiteSeer,128,0.7300000190734863
CLGR,CiteSeer,128,0.7150000333786011
CLGR,CiteSeer,512,0.7300000190734863
CLGR,CiteSeer,512,0.7280000448226929
CLGR,CiteSeer,512,0.7330000400543213
CLGR,CiteSeer,512,0.7330000400543213
CLGR,CiteSeer,512,0.7300000190734863
CLGR,CiteSeer,512,0.7320000529289246
CLGR,CiteSeer,512,0.7330000400543213
CLGR,CiteSeer,512,0.7280000448226929
CLGR,CiteSeer,512,0.7430000305175781
CLGR,CiteSeer,512,0.7190000414848328
CLGR,CiteSeer,512,0.7270000576972961
CLGR,CiteSeer,512,0.7320000529289246
CLGR,CiteSeer,512,0.7260000109672546
CLGR,CiteSeer,512,0.7310000061988831
CLGR,CiteSeer,512,0.7190000414848328
CLGR,CiteSeer,512,0.7350000143051147
CLGR,CiteSeer,512,0.7170000076293945
CLGR,CiteSeer,512,0.7350000143051147
CLGR,CiteSeer,512,0.7230000495910645
CLGR,CiteSeer,512,0.7310000061988831
