model,dataset,num of neg samples,accuracy
CLGR,Computers,2,0.0308125801384449
CLGR,Computers,2,0.8629339933395386
CLGR,Computers,2,0.8651154041290283
CLGR,Computers,2,0.8544809818267822
CLGR,Computers,2,0.8659334778785706
CLGR,Computers,2,0.03290310874581337
CLGR,Computers,2,0.8673877716064453
CLGR,Computers,2,0.8709325790405273
CLGR,Computers,2,0.8723868131637573
CLGR,Computers,2,0.8731139898300171
CLGR,Computers,2,0.8795673251152039
CLGR,Computers,2,0.870478093624115
CLGR,Computers,2,0.8713870048522949
CLGR,Computers,2,0.8544809818267822
CLGR,Computers,2,0.8659334778785706
CLGR,Computers,2,0.855026364326477
CLGR,Computers,2,0.8686602711677551
CLGR,Computers,2,0.8480276465415955
CLGR,Computers,2,0.8697509765625
CLGR,Computers,2,0.8722959160804749
CLGR,Computers,4,0.8590256571769714
CLGR,Computers,4,0.032085075974464417
CLGR,Computers,4,0.8727504014968872
CLGR,Computers,4,0.873477578163147
CLGR,Computers,4,0.8701145052909851
CLGR,Computers,4,0.8675695061683655
CLGR,Computers,4,0.031994182616472244
CLGR,Computers,4,0.8693873882293701
CLGR,Computers,4,0.8644791841506958
CLGR,Computers,4,0.874931812286377
CLGR,Computers,4,0.8743864893913269
CLGR,Computers,4,0.874022901058197
CLGR,Computers,4,0.8711143136024475
CLGR,Computers,4,0.8701145052909851
CLGR,Computers,4,0.8723868131637573
CLGR,Computers,4,0.8689329028129578
CLGR,Computers,4,0.8717505931854248
CLGR,Computers,4,0.8561170697212219
CLGR,Computers,4,0.873477578163147
CLGR,Computers,4,0.8728412985801697
CLGR,Computers,8,0.8787493109703064
CLGR,Computers,8,0.8793855905532837
CLGR,Computers,8,0.8817487955093384
CLGR,Computers,8,0.8765679001808167
CLGR,Computers,8,0.8755680918693542
CLGR,Computers,8,0.8765679001808167
CLGR,Computers,8,0.8779312968254089
CLGR,Computers,8,0.8767496943473816
CLGR,Computers,8,0.8839302062988281
CLGR,Computers,8,0.8786584138870239
CLGR,Computers,8,0.8869296312332153
CLGR,Computers,8,0.8847482204437256
CLGR,Computers,8,0.8800218105316162
CLGR,Computers,8,0.8802945017814636
CLGR,Computers,8,0.8789311051368713
CLGR,Computers,8,0.8863843083381653
CLGR,Computers,8,0.8836575150489807
CLGR,Computers,8,0.8882021307945251
CLGR,Computers,8,0.8751136064529419
CLGR,Computers,8,0.8789311051368713
CLGR,Computers,16,0.8834757208824158
CLGR,Computers,16,0.8852936029434204
CLGR,Computers,16,0.8902926445007324
CLGR,Computers,16,0.8872023224830627
CLGR,Computers,16,0.8852027058601379
CLGR,Computers,16,0.8901109099388123
CLGR,Computers,16,0.8833848237991333
CLGR,Computers,16,0.8862934112548828
CLGR,Computers,16,0.8898382186889648
CLGR,Computers,16,0.8892019391059875
CLGR,Computers,16,0.8854753971099854
CLGR,Computers,16,0.8866569995880127
CLGR,Computers,16,0.8873841166496277
CLGR,Computers,16,0.8868387341499329
CLGR,Computers,16,0.8842937350273132
CLGR,Computers,16,0.8869296312332153
CLGR,Computers,16,0.8788402080535889
CLGR,Computers,16,0.8853845000267029
CLGR,Computers,16,0.8842937350273132
CLGR,Computers,16,0.8882930278778076
CLGR,Computers,32,0.8851118087768555
CLGR,Computers,32,0.8848391175270081
CLGR,Computers,32,0.8875659108161926
CLGR,Computers,32,0.882021427154541
CLGR,Computers,32,0.8886566162109375
CLGR,Computers,32,0.8875659108161926
CLGR,Computers,32,0.8918378353118896
CLGR,Computers,32,0.8968369364738464
CLGR,Computers,32,0.8900200128555298
CLGR,Computers,32,0.88874751329422
CLGR,Computers,32,0.8862934112548828
CLGR,Computers,32,0.8864752054214478
CLGR,Computers,32,0.8866569995880127
CLGR,Computers,32,0.8935648202896118
CLGR,Computers,32,0.8862025141716003
CLGR,Computers,32,0.8964733481407166
CLGR,Computers,32,0.8884748220443726
CLGR,Computers,32,0.8929285407066345
CLGR,Computers,32,0.888565719127655
CLGR,Computers,32,0.8852936029434204
CLGR,Computers,64,0.8910198211669922
CLGR,Computers,64,0.8880203366279602
CLGR,Computers,64,0.8911107182502747
CLGR,Computers,64,0.8953826427459717
CLGR,Computers,64,0.8909289240837097
CLGR,Computers,64,0.889474630355835
CLGR,Computers,64,0.8795673251152039
CLGR,Computers,64,0.8955644369125366
CLGR,Computers,64,0.8837484121322632
CLGR,Computers,64,0.8903835415840149
CLGR,Computers,64,0.8889293074607849
CLGR,Computers,64,0.8860207200050354
CLGR,Computers,64,0.8916560411453247
CLGR,Computers,64,0.8920196294784546
CLGR,Computers,64,0.8861116170883179
CLGR,Computers,64,0.8942010402679443
CLGR,Computers,64,0.895837128162384
CLGR,Computers,64,0.8918378353118896
CLGR,Computers,64,0.8853845000267029
CLGR,Computers,64,0.8832030296325684
CLGR,Computers,128,0.893019437789917
CLGR,Computers,128,0.8882930278778076
CLGR,Computers,128,0.8832030296325684
CLGR,Computers,128,0.8871114253997803
CLGR,Computers,128,0.8946555256843567
CLGR,Computers,128,0.8901109099388123
CLGR,Computers,128,0.8931103348731995
CLGR,Computers,128,0.8839302062988281
CLGR,Computers,128,0.8861116170883179
CLGR,Computers,128,0.8888384103775024
CLGR,Computers,128,0.8882930278778076
CLGR,Computers,128,0.8865661025047302
CLGR,Computers,128,0.8978367447853088
CLGR,Computers,128,0.8896564245223999
CLGR,Computers,128,0.8897473216056824
CLGR,Computers,128,0.8990183472633362
CLGR,Computers,128,0.888565719127655
CLGR,Computers,128,0.8899291157722473
CLGR,Computers,128,0.8869296312332153
CLGR,Computers,128,0.8880203366279602
CLGR,Computers,256,0.8923832178115845
CLGR,Computers,256,0.88929283618927
CLGR,Computers,256,0.8895655274391174
CLGR,Computers,256,0.8879294395446777
CLGR,Computers,256,0.8941101431846619
CLGR,Computers,256,0.8916560411453247
CLGR,Computers,256,0.8998364210128784
CLGR,Computers,256,0.8921105265617371
CLGR,Computers,256,0.8934739232063293
CLGR,Computers,256,0.8927467465400696
CLGR,Computers,256,0.8931103348731995
CLGR,Computers,256,0.8897473216056824
CLGR,Computers,256,0.8917469382286072
CLGR,Computers,256,0.8899291157722473
CLGR,Computers,256,0.8914742469787598
CLGR,Computers,256,0.8893837332725525
CLGR,Computers,256,0.889474630355835
CLGR,Computers,256,0.8908380270004272
CLGR,Computers,256,0.8942010402679443
CLGR,Computers,256,0.8794764876365662
CLGR,Computers,512,0.8909289240837097
CLGR,Computers,512,0.8864752054214478
CLGR,Computers,512,0.8920196294784546
CLGR,Computers,512,0.8907471299171448
CLGR,Computers,512,0.8908380270004272
CLGR,Computers,512,0.8917469382286072
CLGR,Computers,512,0.8932921290397644
CLGR,Computers,512,0.8889293074607849
CLGR,Computers,512,0.8883839249610901
CLGR,Computers,512,0.8881112337112427
CLGR,Computers,512,0.8834757208824158
CLGR,Computers,512,0.8848391175270081
CLGR,Computers,512,0.8906562328338623
CLGR,Computers,512,0.8862934112548828
CLGR,Computers,512,0.8889293074607849
CLGR,Computers,512,0.8964733481407166
CLGR,Computers,512,0.889474630355835
CLGR,Computers,512,0.8943828344345093
CLGR,Computers,512,0.8920196294784546
CLGR,Computers,512,0.8927467465400696
CLGR,Computers,1024,0.8875659108161926
CLGR,Computers,1024,0.8926559090614319
CLGR,Computers,1024,0.8953826427459717
CLGR,Computers,1024,0.8831121325492859
CLGR,Computers,1024,0.8861116170883179
CLGR,Computers,1024,0.892837643623352
CLGR,Computers,1024,0.8868387341499329
CLGR,Computers,1024,0.8893837332725525
CLGR,Computers,1024,0.8912016153335571
CLGR,Computers,1024,0.8909289240837097
CLGR,Computers,1024,0.8925650119781494
CLGR,Computers,1024,0.8896564245223999
CLGR,Computers,1024,0.8904744386672974
CLGR,Computers,1024,0.8944737315177917
CLGR,Computers,1024,0.8905653357505798
CLGR,Computers,1024,0.8927467465400696
CLGR,Computers,1024,0.8888384103775024
CLGR,Computers,1024,0.8912925124168396
CLGR,Computers,1024,0.8925650119781494
CLGR,Computers,1024,0.892837643623352
