model,dataset,num of neg samples,accuracy
CLGR,Cora,2,0.6650000214576721
CLGR,Cora,2,0.7010000348091125
CLGR,Cora,2,0.7100000381469727
CLGR,Cora,2,0.6460000276565552
CLGR,Cora,2,0.703000009059906
CLGR,Cora,2,0.6800000071525574
CLGR,Cora,2,0.7400000095367432
CLGR,Cora,2,0.6500000357627869
CLGR,Cora,2,0.7790000438690186
CLGR,Cora,2,0.6530000567436218
CLGR,Cora,2,0.7000000476837158
CLGR,Cora,2,0.7440000176429749
CLGR,Cora,2,0.7490000128746033
CLGR,Cora,2,0.7330000400543213
CLGR,Cora,2,0.7230000495910645
CLGR,Cora,2,0.7190000414848328
CLGR,Cora,2,0.6780000329017639
CLGR,Cora,2,0.6930000185966492
CLGR,Cora,2,0.7400000095367432
CLGR,Cora,2,0.7270000576972961
CLGR,Cora,8,0.8260000348091125
CLGR,Cora,8,0.8320000171661377
CLGR,Cora,8,0.831000030040741
CLGR,Cora,8,0.8460000157356262
CLGR,Cora,8,0.8360000252723694
CLGR,Cora,8,0.8290000557899475
CLGR,Cora,8,0.8230000138282776
CLGR,Cora,8,0.8200000524520874
CLGR,Cora,8,0.8320000171661377
CLGR,Cora,8,0.8340000510215759
CLGR,Cora,8,0.8250000476837158
CLGR,Cora,8,0.8300000429153442
CLGR,Cora,8,0.8500000238418579
CLGR,Cora,8,0.8240000605583191
CLGR,Cora,8,0.8380000591278076
CLGR,Cora,8,0.8400000333786011
CLGR,Cora,8,0.8280000686645508
CLGR,Cora,8,0.8300000429153442
CLGR,Cora,8,0.8360000252723694
CLGR,Cora,8,0.831000030040741
CLGR,Cora,32,0.8440000414848328
CLGR,Cora,32,0.8280000686645508
CLGR,Cora,32,0.8460000157356262
CLGR,Cora,32,0.843000054359436
CLGR,Cora,32,0.8370000123977661
CLGR,Cora,32,0.8400000333786011
CLGR,Cora,32,0.8350000381469727
CLGR,Cora,32,0.8390000462532043
CLGR,Cora,32,0.8480000495910645
CLGR,Cora,32,0.8330000638961792
CLGR,Cora,32,0.8380000591278076
CLGR,Cora,32,0.8330000638961792
CLGR,Cora,32,0.8390000462532043
CLGR,Cora,32,0.8510000109672546
CLGR,Cora,32,0.8340000510215759
CLGR,Cora,32,0.8360000252723694
CLGR,Cora,32,0.8320000171661377
CLGR,Cora,32,0.8360000252723694
CLGR,Cora,32,0.8270000219345093
CLGR,Cora,32,0.8440000414848328
CLGR,Cora,128,0.8400000333786011
CLGR,Cora,128,0.8380000591278076
CLGR,Cora,128,0.8400000333786011
CLGR,Cora,128,0.8420000672340393
CLGR,Cora,128,0.8300000429153442
CLGR,Cora,128,0.8450000286102295
CLGR,Cora,128,0.8400000333786011
CLGR,Cora,128,0.8440000414848328
CLGR,Cora,128,0.8370000123977661
CLGR,Cora,128,0.8290000557899475
CLGR,Cora,128,0.843000054359436
CLGR,Cora,128,0.8470000624656677
CLGR,Cora,128,0.843000054359436
CLGR,Cora,128,0.8350000381469727
CLGR,Cora,128,0.8440000414848328
CLGR,Cora,128,0.843000054359436
CLGR,Cora,128,0.8370000123977661
CLGR,Cora,128,0.8390000462532043
CLGR,Cora,128,0.8330000638961792
CLGR,Cora,128,0.8380000591278076
CLGR,Cora,512,0.8450000286102295
CLGR,Cora,512,0.8490000367164612
CLGR,Cora,512,0.8400000333786011
CLGR,Cora,512,0.8340000510215759
CLGR,Cora,512,0.8420000672340393
CLGR,Cora,512,0.8370000123977661
CLGR,Cora,512,0.8280000686645508
CLGR,Cora,512,0.8470000624656677
CLGR,Cora,512,0.8470000624656677
CLGR,Cora,512,0.8410000205039978
CLGR,Cora,512,0.8420000672340393
CLGR,Cora,512,0.8460000157356262
CLGR,Cora,512,0.8380000591278076
CLGR,Cora,512,0.843000054359436
CLGR,Cora,512,0.8540000319480896
CLGR,Cora,512,0.8490000367164612
CLGR,Cora,512,0.8420000672340393
CLGR,Cora,512,0.8350000381469727
CLGR,Cora,512,0.8460000157356262
CLGR,Cora,512,0.8380000591278076
