model,dataset,num of neg samples,accuracy
CLGR,Photo,2,0.929411768913269
CLGR,Photo,2,0.9209150671958923
CLGR,Photo,2,0.9210784435272217
CLGR,Photo,2,0.9209150671958923
CLGR,Photo,2,0.9168300628662109
CLGR,Photo,2,0.915032684803009
CLGR,Photo,2,0.9225490689277649
CLGR,Photo,2,0.9248366355895996
CLGR,Photo,2,0.9183006882667542
CLGR,Photo,2,0.9289215803146362
CLGR,Photo,2,0.9254902005195618
CLGR,Photo,2,0.9143791198730469
CLGR,Photo,2,0.925000011920929
CLGR,Photo,2,0.9174836874008179
CLGR,Photo,2,0.9276143908500671
CLGR,Photo,2,0.9196078777313232
CLGR,Photo,2,0.9186275005340576
CLGR,Photo,2,0.9290850162506104
CLGR,Photo,2,0.9153594970703125
CLGR,Photo,2,0.9197712540626526
CLGR,Photo,8,0.9287582039833069
CLGR,Photo,8,0.9292483925819397
CLGR,Photo,8,0.9282680153846741
CLGR,Photo,8,0.9277778267860413
CLGR,Photo,8,0.9285948276519775
CLGR,Photo,8,0.9202614426612854
CLGR,Photo,8,0.9240196347236633
CLGR,Photo,8,0.929411768913269
CLGR,Photo,8,0.9248366355895996
CLGR,Photo,8,0.9282680153846741
CLGR,Photo,8,0.9299020171165466
CLGR,Photo,8,0.9325163960456848
CLGR,Photo,8,0.9245098233222961
CLGR,Photo,8,0.9245098233222961
CLGR,Photo,8,0.9299020171165466
CLGR,Photo,8,0.9267973899841309
CLGR,Photo,8,0.9325163960456848
CLGR,Photo,8,0.9254902005195618
CLGR,Photo,8,0.926307201385498
CLGR,Photo,8,0.9321895837783813
CLGR,Photo,32,0.9279412031173706
CLGR,Photo,32,0.9308823943138123
CLGR,Photo,32,0.9259804487228394
CLGR,Photo,32,0.9284313917160034
CLGR,Photo,32,0.9325163960456848
CLGR,Photo,32,0.9295752048492432
CLGR,Photo,32,0.9289215803146362
CLGR,Photo,32,0.9320261478424072
CLGR,Photo,32,0.9261438250541687
CLGR,Photo,32,0.9266340136528015
CLGR,Photo,32,0.9299020171165466
CLGR,Photo,32,0.9284313917160034
CLGR,Photo,32,0.9334967732429504
CLGR,Photo,32,0.9264706373214722
CLGR,Photo,32,0.9271242022514343
CLGR,Photo,32,0.9245098233222961
CLGR,Photo,32,0.9279412031173706
CLGR,Photo,32,0.9308823943138123
CLGR,Photo,32,0.9303922057151794
CLGR,Photo,32,0.9277778267860413
CLGR,Photo,128,0.9227124452590942
CLGR,Photo,128,0.9334967732429504
CLGR,Photo,128,0.9267973899841309
CLGR,Photo,128,0.9287582039833069
CLGR,Photo,128,0.9343137741088867
CLGR,Photo,128,0.9281045794487
CLGR,Photo,128,0.9251634478569031
CLGR,Photo,128,0.933169960975647
CLGR,Photo,128,0.9305555820465088
CLGR,Photo,128,0.9333333373069763
CLGR,Photo,128,0.9276143908500671
CLGR,Photo,128,0.9375817179679871
CLGR,Photo,128,0.9254902005195618
CLGR,Photo,128,0.9349673390388489
CLGR,Photo,128,0.9325163960456848
CLGR,Photo,128,0.9302287697792053
CLGR,Photo,128,0.9281045794487
CLGR,Photo,128,0.9313725829124451
CLGR,Photo,128,0.9308823943138123
CLGR,Photo,128,0.9307189583778381
CLGR,Photo,512,0.9295752048492432
CLGR,Photo,512,0.9339869618415833
CLGR,Photo,512,0.9339869618415833
CLGR,Photo,512,0.9318627715110779
CLGR,Photo,512,0.9261438250541687
CLGR,Photo,512,0.9310457706451416
CLGR,Photo,512,0.9348039627075195
CLGR,Photo,512,0.9316993951797485
CLGR,Photo,512,0.9287582039833069
CLGR,Photo,512,0.9325163960456848
CLGR,Photo,512,0.9289215803146362
CLGR,Photo,512,0.930065393447876
CLGR,Photo,512,0.9289215803146362
CLGR,Photo,512,0.9349673390388489
CLGR,Photo,512,0.930065393447876
CLGR,Photo,512,0.9330065846443176
CLGR,Photo,512,0.9289215803146362
CLGR,Photo,512,0.9395425319671631
CLGR,Photo,512,0.9253268241882324
CLGR,Photo,512,0.9290850162506104
