model,dataset,num of neg samples,accuracy
CLGR,Physics,2,0.9491918683052063
CLGR,Physics,2,0.9500253796577454
CLGR,Physics,2,0.9483221173286438
CLGR,Physics,2,0.9507139325141907
CLGR,Physics,2,0.946183979511261
CLGR,Physics,2,0.9484308362007141
CLGR,Physics,2,0.9511850476264954
CLGR,Physics,2,0.16760890185832977
CLGR,Physics,2,0.9478872418403625
CLGR,Physics,2,0.9490106701850891
CLGR,Physics,2,0.9506052136421204
CLGR,Physics,2,0.9502065777778625
CLGR,Physics,2,0.16528955101966858
CLGR,Physics,2,0.16702906787395477
CLGR,Physics,2,0.9498079419136047
CLGR,Physics,2,0.9485395550727844
CLGR,Physics,2,0.9525259137153625
CLGR,Physics,2,0.16789881885051727
CLGR,Physics,2,0.9520910382270813
CLGR,Physics,2,0.9508951306343079
CLGR,Physics,8,0.9544103741645813
CLGR,Physics,8,0.9550989270210266
CLGR,Physics,8,0.9526708722114563
CLGR,Physics,8,0.9534681439399719
CLGR,Physics,8,0.9544466137886047
CLGR,Physics,8,0.9563310742378235
CLGR,Physics,8,0.954555332660675
CLGR,Physics,8,0.953141987323761
CLGR,Physics,8,0.9512212872505188
CLGR,Physics,8,0.9536493420600891
CLGR,Physics,8,0.9530332684516907
CLGR,Physics,8,0.9552801251411438
CLGR,Physics,8,0.9535043835639954
CLGR,Physics,8,0.9550264477729797
CLGR,Physics,8,0.9547002911567688
CLGR,Physics,8,0.9535406231880188
CLGR,Physics,8,0.956041157245636
CLGR,Physics,8,0.9524896740913391
CLGR,Physics,8,0.9534319043159485
CLGR,Physics,8,0.9553526043891907
CLGR,Physics,32,0.9547002911567688
CLGR,Physics,32,0.9537580609321594
CLGR,Physics,32,0.9562223553657532
CLGR,Physics,32,0.9565122723579407
CLGR,Physics,32,0.9561861157417297
CLGR,Physics,32,0.954555332660675
CLGR,Physics,32,0.9529245495796204
CLGR,Physics,32,0.9548452496528625
CLGR,Physics,32,0.9549177289009094
CLGR,Physics,32,0.956874668598175
CLGR,Physics,32,0.9552438855171204
CLGR,Physics,32,0.9542291760444641
CLGR,Physics,32,0.9557512402534485
CLGR,Physics,32,0.9541929364204407
CLGR,Physics,32,0.9529607892036438
CLGR,Physics,32,0.9558237195014954
CLGR,Physics,32,0.9551714062690735
CLGR,Physics,32,0.9510400891304016
CLGR,Physics,32,0.9542291760444641
CLGR,Physics,32,0.9553526043891907
CLGR,Physics,128,0.9552076458930969
CLGR,Physics,128,0.9537580609321594
CLGR,Physics,128,0.9547365307807922
CLGR,Physics,128,0.9531057476997375
CLGR,Physics,128,0.9555338025093079
CLGR,Physics,128,0.9554975628852844
CLGR,Physics,128,0.955461323261261
CLGR,Physics,128,0.9527433514595032
CLGR,Physics,128,0.9544828534126282
CLGR,Physics,128,0.9559686779975891
CLGR,Physics,128,0.9539392590522766
CLGR,Physics,128,0.9533594250679016
CLGR,Physics,128,0.9550264477729797
CLGR,Physics,128,0.9541566967964172
CLGR,Physics,128,0.9547727704048157
CLGR,Physics,128,0.954555332660675
CLGR,Physics,128,0.9532869458198547
CLGR,Physics,128,0.9543378949165344
CLGR,Physics,128,0.9538667798042297
CLGR,Physics,128,0.9533594250679016
CLGR,Physics,512,0.9556787610054016
CLGR,Physics,512,0.9530695080757141
CLGR,Physics,512,0.9559686779975891
CLGR,Physics,512,0.9545915722846985
CLGR,Physics,512,0.9549902081489563
CLGR,Physics,512,0.9569833874702454
CLGR,Physics,512,0.9562585949897766
CLGR,Physics,512,0.9554250836372375
CLGR,Physics,512,0.9555700421333313
CLGR,Physics,512,0.9558599591255188
CLGR,Physics,512,0.9560773968696594
CLGR,Physics,512,0.9557512402534485
CLGR,Physics,512,0.9536131024360657
CLGR,Physics,512,0.9552438855171204
CLGR,Physics,512,0.9539030194282532
CLGR,Physics,512,0.9552076458930969
CLGR,Physics,512,0.9566934704780579
CLGR,Physics,512,0.9547727704048157
CLGR,Physics,512,0.953141987323761
CLGR,Physics,512,0.9551714062690735
