model,dataset,num of neg samples,accuracy
CLGR,PubMed,2,0.7310000061988831
CLGR,PubMed,2,0.7330000400543213
CLGR,PubMed,2,0.7000000476837158
CLGR,PubMed,2,0.6950000524520874
CLGR,PubMed,2,0.7150000333786011
CLGR,PubMed,2,0.7280000448226929
CLGR,PubMed,2,0.753000020980835
CLGR,PubMed,2,0.7680000066757202
CLGR,PubMed,2,0.7320000529289246
CLGR,PubMed,2,0.7130000591278076
CLGR,PubMed,2,0.7160000205039978
CLGR,PubMed,2,0.6570000052452087
CLGR,PubMed,2,0.7320000529289246
CLGR,PubMed,2,0.7120000123977661
CLGR,PubMed,2,0.690000057220459
CLGR,PubMed,2,0.18000000715255737
CLGR,PubMed,2,0.7360000610351562
CLGR,PubMed,2,0.7320000529289246
CLGR,PubMed,2,0.7310000061988831
CLGR,PubMed,2,0.7350000143051147
CLGR,PubMed,8,0.7870000600814819
CLGR,PubMed,8,0.8080000281333923
CLGR,PubMed,8,0.796000063419342
CLGR,PubMed,8,0.7820000648498535
CLGR,PubMed,8,0.8060000538825989
CLGR,PubMed,8,0.8020000457763672
CLGR,PubMed,8,0.7990000247955322
CLGR,PubMed,8,0.8160000443458557
CLGR,PubMed,8,0.7990000247955322
CLGR,PubMed,8,0.8020000457763672
CLGR,PubMed,8,0.8130000233650208
CLGR,PubMed,8,0.8100000619888306
CLGR,PubMed,8,0.796000063419342
CLGR,PubMed,8,0.8200000524520874
CLGR,PubMed,8,0.800000011920929
CLGR,PubMed,8,0.800000011920929
CLGR,PubMed,8,0.7940000295639038
CLGR,PubMed,8,0.8160000443458557
CLGR,PubMed,8,0.7990000247955322
CLGR,PubMed,8,0.8130000233650208
CLGR,PubMed,32,0.8160000443458557
CLGR,PubMed,32,0.8140000104904175
CLGR,PubMed,32,0.8050000667572021
CLGR,PubMed,32,0.8060000538825989
CLGR,PubMed,32,0.8140000104904175
CLGR,PubMed,32,0.815000057220459
CLGR,PubMed,32,0.8200000524520874
CLGR,PubMed,32,0.8080000281333923
CLGR,PubMed,32,0.8200000524520874
CLGR,PubMed,32,0.8180000185966492
CLGR,PubMed,32,0.812000036239624
CLGR,PubMed,32,0.8180000185966492
CLGR,PubMed,32,0.8110000491142273
CLGR,PubMed,32,0.8100000619888306
CLGR,PubMed,32,0.8250000476837158
CLGR,PubMed,32,0.8130000233650208
CLGR,PubMed,32,0.8240000605583191
CLGR,PubMed,32,0.8060000538825989
CLGR,PubMed,32,0.8190000653266907
CLGR,PubMed,32,0.8180000185966492
CLGR,PubMed,128,0.8260000348091125
CLGR,PubMed,128,0.8130000233650208
CLGR,PubMed,128,0.8200000524520874
CLGR,PubMed,128,0.8130000233650208
CLGR,PubMed,128,0.8230000138282776
CLGR,PubMed,128,0.8170000314712524
CLGR,PubMed,128,0.815000057220459
CLGR,PubMed,128,0.8080000281333923
CLGR,PubMed,128,0.8090000152587891
CLGR,PubMed,128,0.8140000104904175
CLGR,PubMed,128,0.8130000233650208
CLGR,PubMed,128,0.8250000476837158
CLGR,PubMed,128,0.8140000104904175
CLGR,PubMed,128,0.8110000491142273
CLGR,PubMed,128,0.8070000410079956
CLGR,PubMed,128,0.8130000233650208
CLGR,PubMed,128,0.8140000104904175
CLGR,PubMed,128,0.8210000395774841
CLGR,PubMed,128,0.8220000267028809
CLGR,PubMed,128,0.8160000443458557
CLGR,PubMed,512,0.8140000104904175
CLGR,PubMed,512,0.8180000185966492
CLGR,PubMed,512,0.8130000233650208
CLGR,PubMed,512,0.8180000185966492
CLGR,PubMed,512,0.8110000491142273
CLGR,PubMed,512,0.8160000443458557
CLGR,PubMed,512,0.8110000491142273
CLGR,PubMed,512,0.8250000476837158
CLGR,PubMed,512,0.8140000104904175
CLGR,PubMed,512,0.8060000538825989
CLGR,PubMed,512,0.8060000538825989
CLGR,PubMed,512,0.8090000152587891
CLGR,PubMed,512,0.8290000557899475
CLGR,PubMed,512,0.8090000152587891
CLGR,PubMed,512,0.8260000348091125
CLGR,PubMed,512,0.8190000653266907
CLGR,PubMed,512,0.8140000104904175
CLGR,PubMed,512,0.8100000619888306
CLGR,PubMed,512,0.8170000314712524
CLGR,PubMed,512,0.8170000314712524
