model,dataset,num of neg samples,accuracy
CLGR,CS,2,0.8816992044448853
CLGR,CS,2,0.8835402131080627
CLGR,CS,2,0.8860630393028259
CLGR,CS,2,0.8767898678779602
CLGR,CS,2,0.8900177478790283
CLGR,CS,2,0.8881767392158508
CLGR,CS,2,0.8729715347290039
CLGR,CS,2,0.8840856552124023
CLGR,CS,2,0.8745397925376892
CLGR,CS,2,0.8805400729179382
CLGR,CS,2,0.8912450671195984
CLGR,CS,2,0.885040283203125
CLGR,CS,2,0.8776763081550598
CLGR,CS,2,0.8596754670143127
CLGR,CS,2,0.8842220306396484
CLGR,CS,2,0.8859266638755798
CLGR,CS,2,0.8859948515892029
CLGR,CS,2,0.8780853748321533
CLGR,CS,2,0.8854493498802185
CLGR,CS,2,0.8688122630119324
CLGR,CS,4,0.8679258227348328
CLGR,CS,4,0.8628801703453064
CLGR,CS,4,0.8617892265319824
CLGR,CS,4,0.0398881770670414
CLGR,CS,4,0.8706532120704651
CLGR,CS,4,0.8644484281539917
CLGR,CS,4,0.862334668636322
CLGR,CS,4,0.8709259629249573
CLGR,CS,4,0.8723578453063965
CLGR,CS,4,0.8656075596809387
CLGR,CS,4,0.8646529912948608
CLGR,CS,4,0.0398881770670414
CLGR,CS,4,0.8722896575927734
CLGR,CS,4,0.8656075596809387
CLGR,CS,4,0.8572890162467957
CLGR,CS,4,0.8599482178688049
CLGR,CS,4,0.8615164756774902
CLGR,CS,4,0.858857274055481
CLGR,CS,4,0.863425612449646
CLGR,CS,4,0.8656075596809387
CLGR,CS,8,0.9283376932144165
CLGR,CS,8,0.9316787719726562
CLGR,CS,8,0.9314742088317871
CLGR,CS,8,0.930110514163971
CLGR,CS,8,0.924178421497345
CLGR,CS,8,0.9271103739738464
CLGR,CS,8,0.926428496837616
CLGR,CS,8,0.9271785616874695
CLGR,CS,8,0.9271785616874695
CLGR,CS,8,0.9312014579772949
CLGR,CS,8,0.9281331300735474
CLGR,CS,8,0.9287468194961548
CLGR,CS,8,0.9293604493141174
CLGR,CS,8,0.9297013878822327
CLGR,CS,8,0.924178421497345
CLGR,CS,8,0.9277240037918091
CLGR,CS,8,0.927655816078186
CLGR,CS,8,0.9297695755958557
CLGR,CS,8,0.9249966144561768
CLGR,CS,8,0.930110514163971
CLGR,CS,16,0.9284740686416626
CLGR,CS,16,0.9258829951286316
CLGR,CS,16,0.9309968948364258
CLGR,CS,16,0.9290195107460022
CLGR,CS,16,0.9336560964584351
CLGR,CS,16,0.9290876984596252
CLGR,CS,16,0.9326333403587341
CLGR,CS,16,0.9295650124549866
CLGR,CS,16,0.9292922616004944
CLGR,CS,16,0.9333833456039429
CLGR,CS,16,0.9273830652236938
CLGR,CS,16,0.9292922616004944
CLGR,CS,16,0.9317469000816345
CLGR,CS,16,0.9322924017906189
CLGR,CS,16,0.9339288473129272
CLGR,CS,16,0.9286104440689087
CLGR,CS,16,0.9299059510231018
CLGR,CS,16,0.9322924017906189
CLGR,CS,16,0.9307241439819336
CLGR,CS,16,0.9291558861732483
CLGR,CS,32,0.9323605895042419
CLGR,CS,32,0.9309968948364258
CLGR,CS,32,0.9322242140769958
CLGR,CS,32,0.9325651526451111
CLGR,CS,32,0.9317469000816345
CLGR,CS,32,0.9279285669326782
CLGR,CS,32,0.9315423965454102
CLGR,CS,32,0.9348834156990051
CLGR,CS,32,0.9317469000816345
CLGR,CS,32,0.9329060912132263
CLGR,CS,32,0.937269926071167
CLGR,CS,32,0.9318150877952576
CLGR,CS,32,0.9315423965454102
CLGR,CS,32,0.9282695055007935
CLGR,CS,32,0.9288831353187561
CLGR,CS,32,0.9329060912132263
CLGR,CS,32,0.9317469000816345
CLGR,CS,32,0.9339288473129272
CLGR,CS,32,0.9352243542671204
CLGR,CS,32,0.9307923316955566
CLGR,CS,64,0.9320878386497498
CLGR,CS,64,0.9284058809280396
CLGR,CS,64,0.9339288473129272
CLGR,CS,64,0.9304513931274414
CLGR,CS,64,0.9342015981674194
CLGR,CS,64,0.9314742088317871
CLGR,CS,64,0.932496964931488
CLGR,CS,64,0.9305195808410645
CLGR,CS,64,0.9334515333175659
CLGR,CS,64,0.9376789927482605
CLGR,CS,64,0.9339288473129272
CLGR,CS,64,0.9297013878822327
CLGR,CS,64,0.9306559562683105
CLGR,CS,64,0.9292922616004944
CLGR,CS,64,0.9304513931274414
CLGR,CS,64,0.9291558861732483
CLGR,CS,64,0.9302468299865723
CLGR,CS,64,0.9262239336967468
CLGR,CS,64,0.9285422563552856
CLGR,CS,64,0.9336560964584351
CLGR,CS,128,0.9339970350265503
CLGR,CS,128,0.9288831353187561
CLGR,CS,128,0.9345425367355347
CLGR,CS,128,0.9302468299865723
CLGR,CS,128,0.9305877685546875
CLGR,CS,128,0.9346106648445129
CLGR,CS,128,0.9336560964584351
CLGR,CS,128,0.9348152279853821
CLGR,CS,128,0.9351561665534973
CLGR,CS,128,0.9339288473129272
CLGR,CS,128,0.9318150877952576
CLGR,CS,128,0.9318832755088806
CLGR,CS,128,0.9339288473129272
CLGR,CS,128,0.932496964931488
CLGR,CS,128,0.9318150877952576
CLGR,CS,128,0.9337924718856812
CLGR,CS,128,0.9309968948364258
CLGR,CS,128,0.934678852558136
CLGR,CS,128,0.9294286370277405
CLGR,CS,128,0.9339288473129272
CLGR,CS,256,0.9350197911262512
CLGR,CS,256,0.9327015280723572
CLGR,CS,256,0.9329060912132263
CLGR,CS,256,0.9349516034126282
CLGR,CS,256,0.9342015981674194
CLGR,CS,256,0.9294286370277405
CLGR,CS,256,0.9348834156990051
CLGR,CS,256,0.9320196509361267
CLGR,CS,256,0.933587908744812
CLGR,CS,256,0.933519721031189
CLGR,CS,256,0.9348834156990051
CLGR,CS,256,0.933587908744812
