model,dataset,num of neg samples,accuracy
CLGR,Computers,2.0,0.8601163625717163
CLGR,Computers,2.0,0.8585711717605591
CLGR,Computers,2.0,0.8659334778785706
CLGR,Computers,2.0,0.8661152720451355
CLGR,Computers,2.0,0.8811125159263611
CLGR,Computers,2.0,0.8735684156417847
CLGR,Computers,2.0,0.8719323873519897
CLGR,Computers,2.0,0.874750018119812
CLGR,Computers,2.0,0.8709325790405273
CLGR,Computers,2.0,0.8692964911460876
CLGR,Computers,2.0,0.8670241832733154
CLGR,Computers,2.0,0.8711143136024475
CLGR,Computers,2.0,0.8728412985801697
CLGR,Computers,2.0,0.8752045035362244
CLGR,Computers,2.0,0.8755680918693542
CLGR,Computers,2.0,0.8345755338668823
CLGR,Computers,2.0,0.8558443784713745
CLGR,Computers,2.0,0.8543900847434998
CLGR,Computers,2.0,0.858934760093689
CLGR,Computers,2.0,0.8528449535369873
CLGR,Computers,4.0,0.8762043118476868
CLGR,Computers,4.0,0.8739320039749146
CLGR,Computers,4.0,0.866933286190033
CLGR,Computers,4.0,0.8620250821113586
CLGR,Computers,4.0,0.8693873882293701
CLGR,Computers,4.0,0.8746591806411743
CLGR,Computers,4.0,0.8723868131637573
CLGR,Computers,4.0,0.878476619720459
CLGR,Computers,4.0,0.03244864568114281
CLGR,Computers,4.0,0.8761134147644043
CLGR,Computers,4.0,0.8715687990188599
CLGR,Computers,4.0,0.8703871965408325
CLGR,Computers,4.0,0.8782039880752563
CLGR,Computers,4.0,0.8717505931854248
CLGR,Computers,4.0,0.8720232844352722
CLGR,Computers,4.0,0.8762952089309692
CLGR,Computers,4.0,0.859661877155304
CLGR,Computers,4.0,0.8723868131637573
CLGR,Computers,4.0,0.8776586055755615
CLGR,Computers,4.0,0.8652971982955933
CLGR,Computers,8.0,0.8717505931854248
CLGR,Computers,8.0,0.8863843083381653
CLGR,Computers,8.0,0.882021427154541
CLGR,Computers,8.0,0.8816578984260559
CLGR,Computers,8.0,0.882203221321106
CLGR,Computers,8.0,0.8767496943473816
CLGR,Computers,8.0,0.877022385597229
CLGR,Computers,8.0,0.880567193031311
CLGR,Computers,8.0,0.8883839249610901
CLGR,Computers,8.0,0.8883839249610901
CLGR,Computers,8.0,0.8843846321105957
CLGR,Computers,8.0,0.877567708492279
CLGR,Computers,8.0,0.8795673251152039
CLGR,Computers,8.0,0.8778403997421265
CLGR,Computers,8.0,0.877022385597229
CLGR,Computers,8.0,0.8815670013427734
CLGR,Computers,8.0,0.8851118087768555
CLGR,Computers,8.0,0.8753862977027893
CLGR,Computers,8.0,0.8811125159263611
CLGR,Computers,8.0,0.8791128993034363
CLGR,Computers,16.0,0.8865661025047302
CLGR,Computers,16.0,0.8848391175270081
CLGR,Computers,16.0,0.88874751329422
CLGR,Computers,16.0,0.8852027058601379
CLGR,Computers,16.0,0.8869296312332153
CLGR,Computers,16.0,0.8923832178115845
CLGR,Computers,16.0,0.8875659108161926
CLGR,Computers,16.0,0.8861116170883179
CLGR,Computers,16.0,0.8822941184043884
CLGR,Computers,16.0,0.8862025141716003
CLGR,Computers,16.0,0.8905653357505798
CLGR,Computers,16.0,0.8847482204437256
CLGR,Computers,16.0,0.8861116170883179
CLGR,Computers,16.0,0.8902018070220947
CLGR,Computers,16.0,0.8763861060142517
CLGR,Computers,16.0,0.8875659108161926
CLGR,Computers,16.0,0.885566234588623
CLGR,Computers,16.0,0.8839302062988281
CLGR,Computers,16.0,0.8868387341499329
CLGR,Computers,16.0,0.8837484121322632
CLGR,Computers,32.0,0.8890202045440674
CLGR,Computers,32.0,0.8854753971099854
CLGR,Computers,32.0,0.8907471299171448
CLGR,Computers,32.0,0.8831121325492859
CLGR,Computers,32.0,0.8897473216056824
CLGR,Computers,32.0,0.8843846321105957
CLGR,Computers,32.0,0.8862934112548828
CLGR,Computers,32.0,0.8896564245223999
CLGR,Computers,32.0,0.8909289240837097
CLGR,Computers,32.0,0.8920196294784546
CLGR,Computers,32.0,0.8862025141716003
CLGR,Computers,32.0,0.8858389258384705
CLGR,Computers,32.0,0.8913834095001221
CLGR,Computers,32.0,0.8911107182502747
CLGR,Computers,32.0,0.8901109099388123
CLGR,Computers,32.0,0.8852027058601379
CLGR,Computers,32.0,0.8876568078994751
CLGR,Computers,32.0,0.8864752054214478
CLGR,Computers,32.0,0.8870205283164978
CLGR,Computers,32.0,0.8913834095001221
CLGR,Computers,64.0,0.8920196294784546
CLGR,Computers,64.0,0.8843846321105957
CLGR,Computers,64.0,0.8929285407066345
CLGR,Computers,64.0,0.8914742469787598
CLGR,Computers,64.0,0.8880203366279602
CLGR,Computers,64.0,0.8901109099388123
CLGR,Computers,64.0,0.8932921290397644
CLGR,Computers,64.0,0.8854753971099854
CLGR,Computers,64.0,0.8854753971099854
CLGR,Computers,64.0,0.8983821272850037
CLGR,Computers,64.0,0.8908380270004272
CLGR,Computers,64.0,0.8901109099388123
CLGR,Computers,64.0,0.8910198211669922
CLGR,Computers,64.0,0.8925650119781494
CLGR,Computers,64.0,0.8913834095001221
CLGR,Computers,64.0,0.8937466144561768
CLGR,Computers,64.0,0.8904744386672974
CLGR,Computers,64.0,0.892837643623352
CLGR,Computers,64.0,0.8898382186889648
CLGR,Computers,64.0,0.8923832178115845
CLGR,Computers,128.0,0.8861116170883179
CLGR,Computers,128.0,0.8824759125709534
CLGR,Computers,128.0,0.8956553339958191
CLGR,Computers,128.0,0.8939283490180969
CLGR,Computers,128.0,0.8865661025047302
CLGR,Computers,128.0,0.8919287323951721
CLGR,Computers,128.0,0.8942919373512268
CLGR,Computers,128.0,0.8899291157722473
CLGR,Computers,128.0,0.885748028755188
CLGR,Computers,128.0,0.8910198211669922
CLGR,Computers,128.0,0.8912016153335571
CLGR,Computers,128.0,0.893019437789917
CLGR,Computers,128.0,0.8877477049827576
CLGR,Computers,128.0,0.8889293074607849
CLGR,Computers,128.0,0.8863843083381653
CLGR,Computers,128.0,0.8837484121322632
CLGR,Computers,128.0,0.8929285407066345
CLGR,Computers,128.0,0.8927467465400696
CLGR,Computers,128.0,0.885566234588623
CLGR,Computers,128.0,0.8953826427459717
CLGR,Computers,256.0,0.8905653357505798
CLGR,Computers,256.0,0.8869296312332153
CLGR,Computers,256.0,0.8941101431846619
CLGR,Computers,256.0,0.8883839249610901
CLGR,Computers,256.0,0.8845664262771606
CLGR,Computers,256.0,0.8893837332725525
CLGR,Computers,256.0,0.8922014236450195
CLGR,Computers,256.0,0.893019437789917
CLGR,Computers,256.0,0.8913834095001221
CLGR,Computers,256.0,0.8952008485794067
CLGR,Computers,256.0,0.889474630355835
CLGR,Computers,256.0,0.8913834095001221
CLGR,Computers,256.0,0.8936557173728943
CLGR,Computers,256.0,0.8851118087768555
CLGR,Computers,256.0,0.8893837332725525
CLGR,Computers,256.0,0.8835666179656982
CLGR,Computers,256.0,0.8912016153335571
CLGR,Computers,256.0,0.8900200128555298
CLGR,Computers,256.0,0.8924741148948669
CLGR,Computers,256.0,0.8844755291938782
CLGR,Computers,512.0,0.8869296312332153
CLGR,Computers,512.0,0.8875659108161926
CLGR,Computers,512.0,0.88874751329422
CLGR,Computers,512.0,0.8935648202896118
CLGR,Computers,512.0,0.8828395009040833
CLGR,Computers,512.0,0.8980185389518738
CLGR,Computers,512.0,0.8884748220443726
CLGR,Computers,512.0,0.8922014236450195
CLGR,Computers,512.0,0.8901109099388123
CLGR,Computers,512.0,0.8908380270004272
CLGR,Computers,512.0,0.8911107182502747
CLGR,Computers,512.0,0.8936557173728943
CLGR,Computers,512.0,0.8763861060142517
CLGR,Computers,512.0,0.8902926445007324
CLGR,Computers,512.0,0.896746039390564
