model,dataset,num of neg samples,accuracy
CLGR,Cora,2,0.6950000524520874
CLGR,Cora,2,0.6410000324249268
CLGR,Cora,2,0.7330000400543213
CLGR,Cora,2,0.7320000529289246
CLGR,Cora,2,0.734000027179718
CLGR,Cora,2,0.675000011920929
CLGR,Cora,2,0.7400000095367432
CLGR,Cora,2,0.7320000529289246
CLGR,Cora,2,0.7220000624656677
CLGR,Cora,2,0.6880000233650208
CLGR,Cora,2,0.6970000267028809
CLGR,Cora,2,0.7300000190734863
CLGR,Cora,2,0.6960000395774841
CLGR,Cora,2,0.7280000448226929
CLGR,Cora,2,0.7210000157356262
CLGR,Cora,2,0.687000036239624
CLGR,Cora,2,0.7510000467300415
CLGR,Cora,2,0.6850000619888306
CLGR,Cora,2,0.7160000205039978
CLGR,Cora,2,0.7630000114440918
CLGR,Cora,4,0.612000048160553
CLGR,Cora,4,0.7080000042915344
CLGR,Cora,4,0.6810000538825989
CLGR,Cora,4,0.6510000228881836
CLGR,Cora,4,0.675000011920929
CLGR,Cora,4,0.6460000276565552
CLGR,Cora,4,0.7090000510215759
CLGR,Cora,4,0.6710000038146973
CLGR,Cora,4,0.6660000085830688
CLGR,Cora,4,0.6110000014305115
CLGR,Cora,4,0.6460000276565552
CLGR,Cora,4,0.6430000066757202
CLGR,Cora,4,0.6650000214576721
CLGR,Cora,4,0.6600000262260437
CLGR,Cora,4,0.706000030040741
CLGR,Cora,4,0.6240000128746033
CLGR,Cora,4,0.6700000166893005
CLGR,Cora,4,0.6990000605583191
CLGR,Cora,4,0.6320000290870667
CLGR,Cora,4,0.6480000019073486
CLGR,Cora,8,0.8410000205039978
CLGR,Cora,8,0.8290000557899475
CLGR,Cora,8,0.8090000152587891
CLGR,Cora,8,0.8390000462532043
CLGR,Cora,8,0.831000030040741
CLGR,Cora,8,0.8280000686645508
CLGR,Cora,8,0.8420000672340393
CLGR,Cora,8,0.8130000233650208
CLGR,Cora,8,0.8280000686645508
CLGR,Cora,8,0.8320000171661377
CLGR,Cora,8,0.8280000686645508
CLGR,Cora,8,0.8460000157356262
CLGR,Cora,8,0.8360000252723694
CLGR,Cora,8,0.8330000638961792
CLGR,Cora,8,0.8270000219345093
CLGR,Cora,8,0.831000030040741
CLGR,Cora,8,0.8220000267028809
CLGR,Cora,8,0.8160000443458557
CLGR,Cora,8,0.8370000123977661
CLGR,Cora,8,0.8160000443458557
CLGR,Cora,16,0.8260000348091125
CLGR,Cora,16,0.8370000123977661
CLGR,Cora,16,0.843000054359436
CLGR,Cora,16,0.8440000414848328
CLGR,Cora,16,0.8410000205039978
CLGR,Cora,16,0.843000054359436
CLGR,Cora,16,0.8410000205039978
CLGR,Cora,16,0.8320000171661377
CLGR,Cora,16,0.8370000123977661
CLGR,Cora,16,0.8440000414848328
CLGR,Cora,16,0.8330000638961792
CLGR,Cora,16,0.8370000123977661
CLGR,Cora,16,0.8350000381469727
CLGR,Cora,16,0.8350000381469727
CLGR,Cora,16,0.8390000462532043
CLGR,Cora,16,0.8480000495910645
CLGR,Cora,16,0.831000030040741
CLGR,Cora,16,0.8360000252723694
CLGR,Cora,16,0.8340000510215759
CLGR,Cora,16,0.8270000219345093
CLGR,Cora,32,0.8440000414848328
CLGR,Cora,32,0.8370000123977661
CLGR,Cora,32,0.8320000171661377
CLGR,Cora,32,0.8320000171661377
CLGR,Cora,32,0.8340000510215759
CLGR,Cora,32,0.8390000462532043
CLGR,Cora,32,0.8350000381469727
CLGR,Cora,32,0.8420000672340393
CLGR,Cora,32,0.8420000672340393
CLGR,Cora,32,0.843000054359436
CLGR,Cora,32,0.8470000624656677
CLGR,Cora,32,0.8350000381469727
CLGR,Cora,32,0.8450000286102295
CLGR,Cora,32,0.8490000367164612
CLGR,Cora,32,0.8270000219345093
CLGR,Cora,32,0.8420000672340393
CLGR,Cora,32,0.8300000429153442
CLGR,Cora,32,0.8410000205039978
CLGR,Cora,32,0.8420000672340393
CLGR,Cora,32,0.8490000367164612
CLGR,Cora,64,0.8420000672340393
CLGR,Cora,64,0.8390000462532043
CLGR,Cora,64,0.8420000672340393
CLGR,Cora,64,0.8460000157356262
CLGR,Cora,64,0.8420000672340393
CLGR,Cora,64,0.8370000123977661
CLGR,Cora,64,0.8380000591278076
CLGR,Cora,64,0.831000030040741
CLGR,Cora,64,0.8290000557899475
CLGR,Cora,64,0.8460000157356262
CLGR,Cora,64,0.8490000367164612
CLGR,Cora,64,0.8520000576972961
CLGR,Cora,64,0.8300000429153442
CLGR,Cora,64,0.8390000462532043
CLGR,Cora,64,0.8280000686645508
CLGR,Cora,64,0.8330000638961792
CLGR,Cora,64,0.8420000672340393
CLGR,Cora,64,0.8360000252723694
CLGR,Cora,64,0.8240000605583191
CLGR,Cora,64,0.8400000333786011
CLGR,Cora,128,0.8460000157356262
CLGR,Cora,128,0.843000054359436
CLGR,Cora,128,0.8410000205039978
CLGR,Cora,128,0.8340000510215759
CLGR,Cora,128,0.843000054359436
CLGR,Cora,128,0.8440000414848328
CLGR,Cora,128,0.8340000510215759
CLGR,Cora,128,0.8460000157356262
CLGR,Cora,128,0.8460000157356262
CLGR,Cora,128,0.8400000333786011
CLGR,Cora,128,0.8410000205039978
CLGR,Cora,128,0.8390000462532043
CLGR,Cora,128,0.8410000205039978
CLGR,Cora,128,0.8400000333786011
CLGR,Cora,128,0.8370000123977661
CLGR,Cora,128,0.8370000123977661
CLGR,Cora,128,0.8420000672340393
CLGR,Cora,128,0.8450000286102295
CLGR,Cora,128,0.8360000252723694
CLGR,Cora,128,0.8380000591278076
CLGR,Cora,256,0.8360000252723694
CLGR,Cora,256,0.8280000686645508
CLGR,Cora,256,0.8270000219345093
CLGR,Cora,256,0.843000054359436
CLGR,Cora,256,0.8460000157356262
CLGR,Cora,256,0.8370000123977661
CLGR,Cora,256,0.843000054359436
CLGR,Cora,256,0.8370000123977661
CLGR,Cora,256,0.843000054359436
CLGR,Cora,256,0.8400000333786011
CLGR,Cora,256,0.8360000252723694
