model,dataset,num of neg samples,accuracy
CLGR,Photo,2,0.42892158031463623
CLGR,Photo,2,0.41732028126716614
CLGR,Photo,2,0.42369282245635986
CLGR,Photo,2,0.3830065429210663
CLGR,Photo,2,0.41830065846443176
CLGR,Photo,2,0.4326797425746918
CLGR,Photo,2,0.04722222313284874
CLGR,Photo,2,0.4084967374801636
CLGR,Photo,2,0.32107844948768616
CLGR,Photo,2,0.42598041892051697
CLGR,Photo,2,0.45637255907058716
CLGR,Photo,2,0.4060457646846771
CLGR,Photo,2,0.39133986830711365
CLGR,Photo,2,0.34575164318084717
CLGR,Photo,2,0.4102941155433655
CLGR,Photo,2,0.4323529601097107
CLGR,Photo,2,0.3065359592437744
CLGR,Photo,2,0.43937909603118896
CLGR,Photo,2,0.4295751750469208
CLGR,Photo,2,0.29101309180259705
CLGR,Photo,4,0.43921568989753723
CLGR,Photo,4,0.31960785388946533
CLGR,Photo,4,0.4405228793621063
CLGR,Photo,4,0.4292483925819397
CLGR,Photo,4,0.41160130500793457
CLGR,Photo,4,0.34379085898399353
CLGR,Photo,4,0.3464052379131317
CLGR,Photo,4,0.35326799750328064
CLGR,Photo,4,0.4377451241016388
CLGR,Photo,4,0.4493464231491089
CLGR,Photo,4,0.43529412150382996
CLGR,Photo,4,0.40931373834609985
CLGR,Photo,4,0.4248366057872772
CLGR,Photo,4,0.41699346899986267
CLGR,Photo,4,0.4174836575984955
CLGR,Photo,4,0.4669934809207916
CLGR,Photo,4,0.39673203229904175
CLGR,Photo,4,0.43120917677879333
CLGR,Photo,4,0.3485294282436371
CLGR,Photo,4,0.43627452850341797
CLGR,Photo,8,0.42892158031463623
CLGR,Photo,8,0.44558826088905334
CLGR,Photo,8,0.27614378929138184
CLGR,Photo,8,0.4542483687400818
CLGR,Photo,8,0.4637255072593689
CLGR,Photo,8,0.31650328636169434
CLGR,Photo,8,0.45637255907058716
CLGR,Photo,8,0.4539215862751007
CLGR,Photo,8,0.4660130739212036
CLGR,Photo,8,0.3558823764324188
CLGR,Photo,8,0.443464070558548
CLGR,Photo,8,0.4544117748737335
CLGR,Photo,8,0.42679738998413086
CLGR,Photo,8,0.46928104758262634
CLGR,Photo,8,0.450653612613678
CLGR,Photo,8,0.4338235557079315
CLGR,Photo,8,0.41339871287345886
CLGR,Photo,8,0.42761439085006714
CLGR,Photo,8,0.46045753359794617
CLGR,Photo,8,0.43937909603118896
CLGR,Photo,16,0.3601307272911072
CLGR,Photo,16,0.45735296607017517
CLGR,Photo,16,0.4583333432674408
CLGR,Photo,16,0.45196080207824707
CLGR,Photo,16,0.4125817120075226
CLGR,Photo,16,0.4526143968105316
CLGR,Photo,16,0.38055557012557983
CLGR,Photo,16,0.4122548997402191
CLGR,Photo,16,0.4125817120075226
CLGR,Photo,16,0.2648693025112152
CLGR,Photo,16,0.461928129196167
CLGR,Photo,16,0.4490196108818054
CLGR,Photo,16,0.3415032923221588
CLGR,Photo,16,0.44199347496032715
CLGR,Photo,16,0.42908498644828796
CLGR,Photo,16,0.43627452850341797
CLGR,Photo,16,0.461928129196167
CLGR,Photo,16,0.37973856925964355
CLGR,Photo,16,0.3589869439601898
CLGR,Photo,16,0.4575163424015045
CLGR,Photo,32,0.375980406999588
CLGR,Photo,32,0.27124184370040894
CLGR,Photo,32,0.46176472306251526
CLGR,Photo,32,0.35277777910232544
CLGR,Photo,32,0.4138889014720917
CLGR,Photo,32,0.27892157435417175
CLGR,Photo,32,0.453758180141449
CLGR,Photo,32,0.33186274766921997
CLGR,Photo,32,0.42450982332229614
CLGR,Photo,32,0.44607844948768616
CLGR,Photo,32,0.30032679438591003
CLGR,Photo,32,0.4495098292827606
CLGR,Photo,32,0.42941176891326904
CLGR,Photo,32,0.4354575276374817
CLGR,Photo,32,0.4202614426612854
CLGR,Photo,32,0.4264706075191498
CLGR,Photo,32,0.44869282841682434
CLGR,Photo,32,0.45898693799972534
CLGR,Photo,32,0.44820263981819153
CLGR,Photo,32,0.45767974853515625
CLGR,Photo,64,0.46225491166114807
CLGR,Photo,64,0.4493464231491089
CLGR,Photo,64,0.454738587141037
CLGR,Photo,64,0.3968954384326935
CLGR,Photo,64,0.4534313976764679
CLGR,Photo,64,0.3539215922355652
CLGR,Photo,64,0.32189542055130005
CLGR,Photo,64,0.43480393290519714
CLGR,Photo,64,0.3982026278972626
CLGR,Photo,64,0.4598039388656616
CLGR,Photo,64,0.29460784792900085
CLGR,Photo,64,0.41470590233802795
CLGR,Photo,64,0.25735294818878174
CLGR,Photo,64,0.4320261478424072
CLGR,Photo,64,0.4395425021648407
CLGR,Photo,64,0.2769607901573181
CLGR,Photo,64,0.43071895837783813
CLGR,Photo,64,0.3968954384326935
CLGR,Photo,64,0.4166666865348816
CLGR,Photo,64,0.4346405267715454
CLGR,Photo,128,0.4606209397315979
CLGR,Photo,128,0.4130719006061554
