model,dataset,num of neg samples,accuracy
CLGR,Physics,2,0.16760890185832977
CLGR,Physics,2,0.7951728701591492
CLGR,Physics,2,0.8206856846809387
CLGR,Physics,2,0.7496194839477539
CLGR,Physics,2,0.7786837816238403
CLGR,Physics,2,0.8417047262191772
CLGR,Physics,2,0.16630427539348602
CLGR,Physics,2,0.7768718004226685
CLGR,Physics,2,0.8523592352867126
CLGR,Physics,2,0.7777053117752075
CLGR,Physics,2,0.16641299426555634
CLGR,Physics,2,0.6919257640838623
CLGR,Physics,2,0.8055012226104736
CLGR,Physics,2,0.6806190013885498
CLGR,Physics,2,0.7490034103393555
CLGR,Physics,2,0.692976713180542
CLGR,Physics,2,0.7689352631568909
CLGR,Physics,2,0.7947379946708679
CLGR,Physics,2,0.7817641496658325
CLGR,Physics,2,0.7103355526924133
CLGR,Physics,4,0.7360295653343201
CLGR,Physics,4,0.16731898486614227
CLGR,Physics,4,0.7342538237571716
CLGR,Physics,4,0.16717402637004852
CLGR,Physics,4,0.16449227929115295
CLGR,Physics,4,0.6889541149139404
CLGR,Physics,4,0.713560938835144
CLGR,Physics,4,0.1666666716337204
CLGR,Physics,4,0.736355721950531
CLGR,Physics,4,0.768282949924469
CLGR,Physics,4,0.7177284955978394
CLGR,Physics,4,0.7733927369117737
CLGR,Physics,4,0.7159889936447144
CLGR,Physics,4,0.7441473007202148
CLGR,Physics,4,0.1672465056180954
CLGR,Physics,4,0.7164238691329956
CLGR,Physics,4,0.7045009732246399
CLGR,Physics,4,0.6312603950500488
CLGR,Physics,4,0.16699282824993134
CLGR,Physics,4,0.6809813976287842
CLGR,Physics,8,0.8790316581726074
CLGR,Physics,8,0.8994709253311157
CLGR,Physics,8,0.8652967810630798
CLGR,Physics,8,0.8932738900184631
CLGR,Physics,8,0.8698267936706543
CLGR,Physics,8,0.8904109597206116
CLGR,Physics,8,0.8862796425819397
CLGR,Physics,8,0.8899760842323303
